Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
Caltech101,MisCls_Any,1,0,0.8469234895434677,0.0,0.8469234895434677,1000,1,99.90395697272379,88.85472713297463,3
Caltech101,MisCls_Any,2,0,0.9580525049238535,0.0,0.9580525049238535,1000,1,99.90395697272379,89.08531898539584,1
Caltech101,MisCls_Any,3,0,0.8701830635770925,0.0,0.8701830635770925,1000,1,99.57741067998464,90.23827824750192,1
CIFAR10,MisCls_Any,1,0,0.01695325,0,0.01695325,1000,1,89.725,85.96,7
CIFAR10,MisCls_Any,2,0,0.010196869,0,0.010196869,1000,1,90.0225,85.59,5
CIFAR10,MisCls_Any,3,0,0.004355699,0,0.004355699,1000,1,90.035,86.96,2
EMNIST,MisCls_Any,1,0,0.336728576,0,0.336728576,1000,1,0.267427885,0.368589744,155
EMNIST,MisCls_Any,2,0,0.006477669,0,0.006477669,1000,1,0.139222756,0.212339744,1
EMNIST,MisCls_Any,3,0,7.45E-05,0,7.45E-05,1000,1,0.227363782,0.280448718,1
FashionMNIST,MisCls_Any,1,0,0.013639201,0,0.013639201,1000,1,97.54375,92.84166667,4
FashionMNIST,MisCls_Any,2,0,0.049566576,0,0.049566576,1000,1,97.65,92.9,34
FashionMNIST,MisCls_Any,4,0,0.05623412002977951,0.0,0.05623412002977951,1000,1,96.25625,92.925,18
Food101,MisCls_Any,1,0,0.013591513,0,0.013591513,1000,1,78.03333333,61,1
Food101,MisCls_Any,2,0,0.000824908,0,0.000824908,1000,1,82.35,64.53333333,3
Food101,MisCls_Any,3,0,0.001957758,0,0.001957758,1000,1,87.86666667,65.13333333,1
KMNIST,MisCls_Any,1,0,1.70482492,0,1.70482492,1000,1,99.98333333,99.30833333,5
KMNIST,MisCls_Any,2,0,2.483804315,0,2.483804315,1000,1,99.925,99.29166667,36
KMNIST,MisCls_Any,3,0,2.21880285,0,2.21880285,1000,1,99.99791667,99.44166667,1
MNIST,MisCls_Any,2,0,0.005567079,0,0.005567079,1000,1,99.275,98.51666667,5
MNIST,MisCls_Any,3,0,0.006489195,0,0.006489195,1000,1,99.43541667,98.30833333,8
MNIST,MisCls_Any,4,0,0.001497054,0,0.001497054,1000,1,99.13541667,98,9
office31,MisCls_Any,1,0,0.8212296683938558,0.0,0.8212296683938558,1000,1,99.38990571270105,76.44444444444444,1
office31,MisCls_Any,2,0,1.004953574444651,0.0,1.004953574444651,1000,1,99.55629506378258,74.44444444444444,1
office31,MisCls_Any,3,0,1.023641987,0,1.023641987,1000,1,99.94453688,74.22222222,1
SVHN,MisCls_Any,1,0,0.028928508,0,0.028928508,1000,1,97.07192219,93.77516893,3
SVHN,MisCls_Any,2,0,0,0.000898407,0.000898407,1000,1,95.65054176,93.52262644,2
SVHN,MisCls_Any,3,0,0.281705362,0,0.281705362,1000,1,96.50541763,94.02088595,26
USPS,MisCls_Any,1,0,0.735912453,0,0.735912453,1000,1,99.96570645,98.97119342,1
USPS,MisCls_Any,2,0,1.137500427,0,1.137500427,1000,1,99.75994513,98.69684499,4
USPS,MisCls_Any,3,0,1.182583431,0,1.182583431,1000,1,99.96570645,99.38271605,1
Caltech101,MisCls_Correct,1,0,0.7168047288028633,0.0,0.7168047288028633,1000,1,99.90395697272379,89.00845503458878,2
Caltech101,MisCls_Correct,4,0,17.51830137,0,17.51830137,1000,1,98.36726854,87.77863182,38
Caltech101,MisCls_Correct,3,0,14.26922015,0,14.26922015,1000,1,98.69381483,88.93159108,47
CIFAR10,MisCls_Correct,1,0,9.5962942,0,9.5962942,1000,1,89.4525,85.54,350
CIFAR10,MisCls_Correct,2,0,0.465671857,0.054547978,0.520219835,1000,1,90.225,85.42,120
CIFAR10,MisCls_Correct,3,0,1.829590813,0.162659094,1.992249907,1000,1,90.005,86.72,186
EMNIST,MisCls_Correct,1,0,0.024357079,0,0.024357079,1000,1,0.267427885,0.356570513,11
EMNIST,MisCls_Correct,2,0,1.3731241236862122,0.0,1.3731241236862126,1000,1,0.11217948717948717,0.15625,240
EMNIST,MisCls_Correct,5,0,0.2008380027782395,0.0,0.20083800277823938,1000,1,0.08613782051282051,0.22836538461538464,77
