Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
CIFAR10,1,./checkpoints_SAP/CIFAR10_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.37232313208580015,87.6325,0.4790773082733154,84.18,0.4925426323890686,83.72,0.3751598979473114,87.3275,0.47984739818572997,83.75,0.5014509119033813,83.67,0.30942861280441286,89.6125,0.4107946432113647,86.13,0.41673136157989504,85.77,3639.5687925815582
CIFAR10,2,./checkpoints_SAP/CIFAR10_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.34972254633903505,87.865,0.4731150080680847,84.06,0.4648281198740005,84.29,0.36783913998603823,87.4575,0.4782285639762878,83.64,0.47826412267684937,83.51,0.3476322441339493,88.155,0.48826554737091066,84.02,0.4738983714580536,84.31,3641.4667863845825
CIFAR10,3,./checkpoints_SAP/CIFAR10_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.36489182977676393,87.645,0.4590743215560913,84.57,0.4762600658416748,83.81,0.37755467023849487,87.5075,0.4700754301071167,84.22,0.47480618352890014,84.22,0.32120717401504517,89.255,0.4276641010284424,85.7,0.4295556180000305,85.41,3647.3332607746124
MNIST,1,./checkpoints_SAP/MNIST_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.026275300222759444,99.19583333333334,0.05054816829164823,98.59166666666667,0.04600407714471221,98.48,0.02627490482789775,99.19375,0.05054807344575723,98.59166666666667,0.04600303538776934,98.48,0.026061883468801776,99.24375,0.05299615679184596,98.425,0.048959102255478504,98.39,1218.8146269321442
MNIST,2,./checkpoints_SAP/MNIST_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.0225838467143476,99.41041666666666,0.07680531905591488,98.10833333333333,0.06865999832339585,98.22,0.0227148741359512,99.39583333333333,0.07707502879450719,98.08333333333333,0.06853770721331238,98.26,0.025119452542314926,99.28125,0.08133204924066861,97.975,0.0685474459014833,98.11,158.99170541763306
MNIST,3,./checkpoints_SAP/MNIST_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.02018062214863797,99.37083333333334,0.05547246144029001,98.48333333333333,0.04975498824781971,98.65,0.02030809248673419,99.36041666666667,0.05564432634661595,98.48333333333333,0.049892487662984056,98.65,0.021296380025645097,99.34791666666666,0.05991638004158934,98.35,0.05203301282320172,98.41,1018.2334792613983
CIFAR10,1,./checkpoints_SAP/CIFAR10_CO/Run1_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.3729174514770508,87.475,0.48123774032592775,83.73,0.4978843328475952,83.54,0.3702209137916565,87.65,0.47715560941696167,84.17,0.4933794612407684,83.92,0.3616911507606506,87.905,0.4764952468395233,84.32,0.47416951551437375,84.66,202.03527975082397
CIFAR10,2,./checkpoints_SAP/CIFAR10_CO/Run2_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.3559932500362396,87.7475,0.47515657629966734,83.54,0.4659577443599701,84.32,0.35424203939437865,87.855,0.46882949409484864,84.1,0.45807848963737485,84.21,0.2833667135477066,90.2875,0.41337488079071044,86.27,0.41234312355518343,86.53,399.15811371803284
CIFAR10,3,./checkpoints_SAP/CIFAR10_CO/Run3_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.36100005655288697,87.8175,0.4548319263458252,84.58,0.46716697092056275,84.31,0.3688840974330902,87.465,0.45230963621139525,84.58,0.4693022196292877,83.9,0.3595571332454681,87.91,0.45583015909194946,84.54,0.48356803159713746,83.52,339.33736085891724
CIFAR10,4,./checkpoints_SAP/CIFAR10_CO/Run4_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.3496543133735657,87.9475,0.42828336210250856,84.89,0.4555561538696289,84.31,0.35285777292251586,88.0025,0.43079166984558104,85.29,0.4631043851852417,84.58,0.34896604142189025,88.12,0.4558557163596153,85.0,0.45949180228710174,84.74,225.52602195739746
