Run,Phase,Method,Epoch,Train_loss,Train_acc,Val_loss,Val_acc
1,Train,AWP,1,0.3921368363434854,89.55761316872427,0.10226210246606128,97.25651577503429
1,Train,AWP,2,0.07974259871179643,97.85665294924554,0.055870933849134566,98.42249657064473
1,Train,AWP,3,0.05543235205518811,98.61111111111111,0.04884036330938012,98.83401920438958
1,Train,AWP,4,0.042457389027771096,99.039780521262,0.04489152062944914,98.62825788751715
1,Train,AWP,5,0.02540693538384917,99.53703703703704,0.04146969003605418,98.76543209876543
1,Train,AWP,6,0.022366416883533417,99.60562414266118,0.044881023752754774,98.69684499314128
1,Train,AWP,7,0.015475547358737853,99.70850480109739,0.03771215266406291,98.76543209876543
1,Train,AWP,8,0.013033228746676088,99.82853223593965,0.04514671247886859,98.83401920438958
1,Train,AWP,9,0.011132866040418816,99.86282578875172,0.0313659074252525,99.10836762688615
1,Train,AWP,10,0.014458085936696632,99.72565157750343,0.032549412356400846,98.83401920438958
1,Train,AWP,11,0.009464852000667674,99.87997256515774,0.027438373385388175,99.24554183813443
1,Train,AWP,12,0.008533044748575143,99.86282578875172,0.03232081233944095,98.90260631001372
1,Train,AWP,13,0.007118647742216759,99.89711934156378,0.03380136668109763,99.039780521262
1,Train,AWP,14,0.0068500205386004855,99.93141289437585,0.034107715468879266,99.10836762688615
1,Train,AWP,15,0.006606936396565288,99.91426611796982,0.030188472984953998,99.039780521262
1,Train,AWP,16,0.008885650844920589,99.84567901234568,0.032424211080488846,99.10836762688615
1,Train,AWP,17,0.0070062763640991125,99.86282578875172,0.0244424124088634,99.31412894375858
1,Train,AWP,18,0.006642161369318669,99.89711934156378,0.024245185378954245,99.039780521262
1,Train,AWP,19,0.00745033645880935,99.86282578875172,0.03105347496246605,99.10836762688615
1,Train,AWP,20,0.005382991809038567,99.91426611796982,0.0264058011457508,99.10836762688615
1,Train,AWP,21,0.005002953503761724,99.91426611796982,0.03009003063278025,98.90260631001372
1,Train,AWP,22,0.005103129789463507,99.89711934156378,0.025292251810983376,99.17695473251028
1,Train,AWP,23,0.004639598120854277,99.94855967078189,0.024897439489639343,99.10836762688615
1,Train,AWP,24,0.0037667656408460893,99.94855967078189,0.022151456024134927,99.38271604938272
1,Train,AWP,25,0.0034494501679032314,99.94855967078189,0.025623809656100182,99.24554183813443
1,Train,AWP,26,0.004036115902715171,99.94855967078189,0.024464382722319725,99.31412894375858
1,Train,AWP,27,0.007698967309451014,99.81138545953361,0.033697704164967944,99.039780521262
1,Train,AWP,28,0.004616789332826359,99.93141289437585,0.032909225583056034,99.10836762688615
1,Train,AWP,29,0.004049198538426856,99.93141289437585,0.031184472717263,99.17695473251028
1,Train,AWP,30,0.005121038239335378,99.93141289437585,0.027106237165956913,99.31412894375858
1,Train,AWP,31,0.003934413229454431,99.94855967078189,0.029482535257761778,99.10836762688615
1,Train,AWP,32,0.006162305944599211,99.93141289437585,0.022732058000867094,99.31412894375858
1,Train,AWP,33,0.005859774955277554,99.89711934156378,0.030122228270838616,99.17695473251028
1,Train,AWP,34,0.004887837428807119,99.93141289437585,0.024619477743535866,99.519890260631
1,Train_Test,AWP,-1,0.022151456024134927,99.38271604938272,-,-
2,Train,AWP,1,0.4634362900953578,87.68861454046639,0.10746684735347051,97.25651577503429
2,Train,AWP,2,0.08035435436455451,97.99382716049382,0.06783034682876861,98.21673525377228
2,Train,AWP,3,0.05308182876678589,98.76543209876543,0.04755020732844481,98.62825788751715
2,Train,AWP,4,0.039206801923801715,99.15980795610425,0.046813843401330324,98.42249657064473
2,Train,AWP,5,0.0301040946252887,99.41700960219478,0.0408458225020247,98.69684499314128
2,Train,AWP,6,0.024391531002829255,99.63991769547324,0.04197369974402938,98.90260631001372
2,Train,AWP,7,0.021388378257498793,99.58847736625515,0.03561959907972089,99.17695473251028
2,Train,AWP,8,0.01650327489124206,99.69135802469135,0.030854969707973027,99.24554183813443
2,Train,AWP,9,0.012729340430308619,99.79423868312757,0.036517823820828944,98.90260631001372
2,Train,AWP,10,0.012103566615184283,99.86282578875172,0.03369480889004404,98.97119341563786
2,Train,AWP,11,0.015080541386218418,99.70850480109739,0.034445659714190106,98.83401920438958
2,Train,AWP,12,0.012134810221260008,99.79423868312757,0.030067566428039687,99.17695473251028
2,Train,AWP,13,0.007757904138365437,99.91426611796982,0.029345934940067687,99.24554183813443
2,Train,AWP,14,0.006990372714505572,99.87997256515774,0.0292880067733386,99.039780521262
2,Train,AWP,15,0.008418989070417845,99.79423868312757,0.03010034480161546,99.24554183813443
2,Train,AWP,16,0.006186762069853064,99.93141289437585,0.0288020749825509,99.31412894375858
2,Train,AWP,17,0.006453203901005706,99.91426611796982,0.03459478649840944,99.10836762688615
2,Train,AWP,18,0.005395200044680994,99.91426611796982,0.03331569140133114,99.24554183813443
2,Train,AWP,19,0.004912248015107648,99.91426611796982,0.026084200907543313,99.38271604938272
2,Train,AWP,20,0.004847310486619118,99.91426611796982,0.028452934916367544,99.10836762688615
2,Train,AWP,21,0.004030686515603599,99.93141289437585,0.02741916207274082,99.31412894375858
2,Train,AWP,22,0.004147116796799389,99.93141289437585,0.031604991762021195,98.90260631001372
2,Train,AWP,23,0.005710163783552834,99.91426611796982,0.036734902342099224,98.97119341563786
2,Train,AWP,24,0.005301704789694075,99.93141289437585,0.03544607790029226,99.039780521262
2,Train,AWP,25,0.005388716782719079,99.93141289437585,0.030802351444325984,98.97119341563786
2,Train,AWP,26,0.006521028510811131,99.93141289437585,0.03163114355733958,98.83401920438958
2,Train,AWP,27,0.008632258748073818,99.86282578875172,0.02719741386383138,99.31412894375858
2,Train,AWP,28,0.006623630248688404,99.91426611796982,0.029929905748173634,99.10836762688615
2,Train,AWP,29,0.004944150412642478,99.91426611796982,0.029821625932417453,99.10836762688615
2,Train_Test,AWP,-1,0.026084200907543313,99.38271604938272,-,-
3,Train,AWP,1,0.5011199918859031,86.31687242798354,0.08159332907412441,97.80521262002743
3,Train,AWP,2,0.08523129833781201,97.97668038408779,0.060633551809727244,98.35390946502058
3,Train,AWP,3,0.0566894669369187,98.71399176954732,0.04866369511671518,98.69684499314128
3,Train,AWP,4,0.037344080426365785,99.21124828532236,0.03422472919803751,99.10836762688615
