Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
USPS,MisCls_Any,1,0,0.9664277909674025,0.0,0.9664277909674025,1000,1,99.86282578875172,99.1769547325103,5
USPS,MisCls_Any,2,0,0.05399661019553737,0.0,0.05399661019553737,1000,1,99.93141289437585,99.38271604938271,1
USPS,MisCls_Any,3,0,1.147666697301825,0.0,1.147666697301825,1000,1,99.93141289437585,99.31412894375858,2
MNIST,MisCls_Any,1,0,0.0120803869933222,0.0,0.0120803869933222,1000,1,99.97083333333333,98.79166666666667,4
MNIST,MisCls_Any,3,0,0.00585045754247535,0.0,0.00585045754247535,1000,1,99.81666666666666,98.725,1
MNIST,MisCls_Any,4,0,0.0012395558795594076,0.0,0.0012395558795594076,1000,1,99.86458333333333,98.61666666666666,2
CIFAR10,MisCls_Any,1,0,0.0,0.021254326502112342,0.021254326502112342,1000,1,94.1725,90.32,15
CIFAR10,MisCls_Any,2,0,0.0,0.03343417359139789,0.03343417359139789,1000,1,93.545,89.37,13
CIFAR10,MisCls_Any,3,0,0.0036994468080666196,0.0,0.0036994468080666196,1000,1,92.4275,89.28,6
FashionMNIST,MisCls_Any,1,0,0.12596352164179078,0.0,0.12596352164179078,1000,1,98.30416666666667,94.08333333333333,21
FashionMNIST,MisCls_Any,2,0,0.0010038291344832443,0.0,0.0010038291344832443,1000,1,99.28333333333333,94.41666666666667,3
FashionMNIST,MisCls_Any,3,0,0.019226056325531694,0.0,0.019226056325531694,1000,1,97.82499999999999,94.22500000000001,7
Food101,MisCls_Any,1,0,0.0,0.011651405378862778,0.011651405378862778,1000,1,94.18333333333334,71.8,1
Food101,MisCls_Any,2,0,0.0,0.01467280799528492,0.01467280799528492,1000,1,95.21666666666667,60.266666666666666,4
Food101,MisCls_Any,3,0,0.0,0.010068951218661137,0.010068951218661137,1000,1,75.43333333333334,59.46666666666667,3
office31,MisCls_Any,1,0,0.3196468505698703,0.0,0.3196468505698703,1000,1,98.44703272323905,77.11111111111111,1
office31,MisCls_Any,2,0,0.0058824806143677865,0.0,0.0058824806143677865,1000,1,95.56295063782585,76.88888888888889,1
office31,MisCls_Any,3,0,0.002797635938283391,0.0,0.0027976359382833912,1000,1,96.22850804215197,73.55555555555556,1
Caltech101,MisCls_Any,1,0,0.013504243902181114,0.0,0.013504243902181114,1000,1,98.82827506723012,89.23904688700999,3
Caltech101,MisCls_Any,2,0,0.0235734308707053,0.0,0.0235734308707053,1000,1,98.21359969266231,90.46887009992314,2
Caltech101,MisCls_Any,3,0,0.036297186158016276,0.0,0.036297186158016276,1000,1,98.40568574721476,90.5457340507302,2
KMNIST,MisCls_Any,1,0,2.0835826507382764,0.0,2.083582650738277,1000,1,99.99791666666667,99.52499999999999,1
KMNIST,MisCls_Any,2,0,1.7467645467759803,0.0,1.7467645467759803,1000,1,99.98958333333333,99.45833333333334,5
KMNIST,MisCls_Any,3,0,1.663738100670083,0.0,1.663738100670083,1000,1,99.98333333333333,99.50833333333333,6
SVHN,MisCls_Any,1,0,0.012493096659080464,0.31936122344970697,0.3318543201087874,1000,1,18.80214998720246,19.39799331103679,18
SVHN,MisCls_Any,2,0,0.0,0.11404055813662439,0.11404055813662439,1000,1,97.64183943349543,95.04470684594908,30
EMNIST,MisCls_Any,1,0,0.01149249674418899,0.0,0.01149249674418899,1000,1,0.07311698717948718,0.18429487179487178,31
EMNIST,MisCls_Any,2,0,0.001314526288905294,0.0,0.001314526288905294,1000,1,0.08313301282051282,0.21233974358974358,1
EMNIST,MisCls_Any,3,0,0.015277276790079385,0.0,0.015277276790079385,1000,1,0.08513621794871795,0.2003205128205128,42
