Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
USPS,1,./checkpoints/USPS_CO/Run1_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.003538535,99.94855967,0.022151456,99.38271605,0.120782647,97.15994021,0.007512141,99.86282579,0.026650732,99.17695473,0.128873933,96.91081216,0.003090694,99.94855967,0.023172576,99.38271605,0.117434752,96.91081216,6313.704545
USPS,2,./checkpoints/USPS_CO/Run2_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.004238161,99.91426612,0.026084201,99.38271605,0.103423831,97.15994021,0.004237221,99.93141289,0.026138965,99.38271605,0.103694501,97.1101146,0.00299962,99.93141289,0.02309697,99.45130316,0.113809692,97.25959143,10850.53079
USPS,3,./checkpoints/USPS_CO/Run3_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.001806533,99.96570645,0.019289987,99.45130316,0.105916072,97.25959143,0.003297497,99.93141289,0.025591268,99.31412894,0.114012358,97.30941704,0.001708315,99.96570645,0.019944403,99.58847737,0.112547801,97.35924265,3651.400438
USPS,4,./checkpoints/USPS_CO/Run4_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.003552796623220192,99.93141289437585,0.02478135977098808,99.38271604938272,0.10611285330884541,97.06028898854011,0.00487417500307694,99.89711934156378,0.027812205122168008,99.31412894375858,0.11144065937861675,96.81116093672148,0.001776638953079085,99.94855967078189,0.0263905731401571,99.31412894375858,0.11373698123274571,96.76133532635775,3634.5081667900085
USPS,5,./checkpoints/USPS_CO/Run5_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.005782950776839943,99.93141289437585,0.021896386531849783,99.45130315500685,0.11337550171183661,96.96063776781266,0.0076024462048932704,99.87997256515774,0.025912676093427896,99.31412894375858,0.11633865799574812,96.8609865470852,0.00200673144400779,99.96570644718793,0.016557907264051125,99.58847736625515,0.12649795616636778,97.11011459890383,3643.3370821475983
MNIST,1,./checkpoints/MNIST_CO/Run1_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.001574883,99.96666667,0.044359678,98.80833333,0.054741183,98.64,0.00159227,99.97083333,0.04423155,98.79166667,0.054876934,98.64,0.001465995,99.97291667,0.043668537,98.84166667,0.052697683,98.84,51.95342731
MNIST,3,./checkpoints/MNIST_CO/Run3_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.008682582,99.81458333,0.044088624,98.73333333,0.036371888,98.84,0.008647504,99.81666667,0.04401372,98.725,0.03627319,98.82,0.007836586,99.86458333,0.044251913,98.78333333,0.036666195,98.89,47.46876955
MNIST,4,./checkpoints/MNIST_CO/Run4_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.008950574,99.86458333,0.047357914,98.60833333,0.045072045,98.6,0.008960934,99.86458333,0.047359449,98.61666667,0.045076967,98.59,0.004093953,99.9375,0.048384371,98.75,0.047709579,98.61,48.37340713
MNIST,5,./checkpoints/MNIST_CO/Run5_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.0031245641806938998,99.93958333333333,0.054846198762456576,98.675,0.05314445442641154,98.62,0.003176001361804083,99.93541666666667,0.055178702677289644,98.66666666666667,0.0530831629792694,98.59,0.0028880153741920366,99.94375,0.055302815211936834,98.68333333333334,0.050171445474796926,98.67,376.5343134403229
MNIST,7,./checkpoints/MNIST_CO/Run7_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.008277134045027196,99.84791666666666,0.04381448779255152,98.81666666666666,0.04560967062767595,98.6,0.00855295333933706,99.84791666666666,0.04448485895122091,98.8,0.0470214098174125,98.6,0.0041336008343690386,99.92083333333333,0.04329216337141891,98.89166666666667,0.04089002607173752,98.95,14.397392749786377
CIFAR10,1,./checkpoints/CIFAR10_CO/Run1_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.213091386,94.2175,0.297968729,90.67,0.305139362,90.29,0.212660481,94.235,0.302014377,90.31,0.304179359,90.41,0.195500462,94.2725,0.288735889,90.68,0.292356993,90.45,193.9958072
CIFAR10,2,./checkpoints/CIFAR10_CO/Run2_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.22516891,93.3775,0.323578631,89.31,0.319048977,89.56,0.225026924,93.4725,0.329033002,89.05,0.318147126,89.75,0.213818659,93.68,0.314732698,89.31,0.306925953,89.73,298.5645187
CIFAR10,3,./checkpoints/CIFAR10_CO/Run3_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.239846884,92.4475,0.325881925,89.4,0.334434423,88.92,0.241674524,92.5175,0.326448103,89.46,0.335302599,89.03,0.200012361,94.3025,0.291549893,90.77,0.292099519,90.66,181.9353263
