Phase,Epoch,Loss,Accuracy
Train,1,0.5514,82.92
Train,2,0.3283,90.12
Train,3,0.2885,91.22
Train,4,0.2619,91.93
Train,5,0.2485,92.49
Train,6,0.2420,92.70
Train,7,0.2377,92.81
Train,8,0.2313,92.98
Train,9,0.2262,93.16
Train,10,0.2249,93.18
Train,11,0.2245,93.19
Train,12,0.2218,93.27
Train,13,0.2223,93.45
Train,14,0.2167,93.44
Train,15,0.2211,93.25
Train,16,0.2182,93.36
Train,17,0.2176,93.41
Train,18,0.2192,93.32
Train,19,0.2175,93.34
Train,20,0.2106,93.70
Train,21,0.2138,93.56
Train,22,0.2111,93.62
Train,23,0.2099,93.61
Train,24,0.2101,93.59
Train,25,0.2102,93.62
Train,26,0.2094,93.58
Train,27,0.2080,93.74
Train,28,0.2071,93.83
Train,29,0.2079,93.67
Train,30,0.2053,93.78
Train,31,0.2023,93.88
Train,32,0.2064,93.73
Train,33,0.2041,93.81
Train,34,0.2006,93.92
Train,35,0.2038,93.75
Train,36,0.2023,93.94
Train,37,0.2025,93.89
Train,38,0.1998,93.97
Train,39,0.1980,93.98
Train,40,0.1961,94.00
Train,41,0.1974,93.99
Train,42,0.1988,94.00
Train,43,0.2028,93.91
Train,44,0.1988,93.92
Train,45,0.1987,94.00
Train,46,0.1943,94.16
Train,47,0.1960,94.06
Train,48,0.1954,94.16
Train,49,0.1981,93.97
Train,50,0.1941,94.05
Train,51,0.1923,94.20
Train,52,0.1935,94.03
Train,53,0.1904,94.16
Train,54,0.1902,94.21
Train,55,0.1895,94.17
Train,56,0.1899,94.22
Train,57,0.1894,94.24
Train,58,0.1863,94.30
Train,59,0.1896,94.34
Train,60,0.1834,94.40
Train,61,0.1847,94.36
Train,62,0.1846,94.39
Train,63,0.1865,94.37
Train,64,0.1834,94.37
Train,65,0.1866,94.29
Train,66,0.1834,94.55
Train,67,0.1801,94.56
Train,68,0.1813,94.55
Train,69,0.1806,94.51
Train,70,0.1797,94.47
Train,71,0.1753,94.61
Train,72,0.1813,94.44
Train,73,0.1776,94.61
Train,74,0.1728,94.72
Train,75,0.1746,94.70
Train,76,0.1744,94.62
Train,77,0.1733,94.73
Train,78,0.1726,94.80
Train,79,0.1684,94.87
Train,80,0.1720,94.78
Train,81,0.1668,94.92
Train,82,0.1663,94.95
Train,83,0.1682,94.83
Train,84,0.1657,94.94
Train,85,0.1659,94.99
Train,86,0.1642,94.97
Train,87,0.1619,95.11
Train,88,0.1616,95.01
Train,89,0.1612,95.14
Train,90,0.1585,95.19
Train,91,0.1586,95.12
Train,92,0.1575,95.18
Train,93,0.1542,95.33
Train,94,0.1534,95.25
Train,95,0.1535,95.35
Train,96,0.1509,95.39
Train,97,0.1510,95.39
Train,98,0.1517,95.38
Train,99,0.1517,95.30
Train,100,0.1485,95.39
Train,101,0.1462,95.57
Train,102,0.1466,95.56
Train,103,0.1445,95.55
Train,104,0.1405,95.65
Train,105,0.1429,95.69
Train,106,0.1398,95.68
Train,107,0.1354,95.89
Train,108,0.1337,95.83
Train,109,0.1339,95.84
Train,110,0.1342,95.94
Train,111,0.1332,95.92
Train,112,0.1325,95.86
Train,113,0.1307,96.01
Train,114,0.1301,96.00
Train,115,0.1279,96.07
Train,116,0.1279,96.08
Train,117,0.1253,96.14
Train,118,0.1236,96.22
Train,119,0.1227,96.26
Train,120,0.1229,96.12
Train,121,0.1195,96.31
Train,122,0.1176,96.32
Train,123,0.1168,96.36
Train,124,0.1157,96.39
Train,125,0.1152,96.41
Train,126,0.1129,96.45
Train,127,0.1120,96.45
Train,128,0.1121,96.57
Train,129,0.1090,96.54
Train,130,0.1072,96.66
Train,131,0.1057,96.71
Train,132,0.1058,96.69
Train,133,0.1027,96.83
Train,134,0.1000,96.84
Train,135,0.1009,96.86
Train,136,0.0985,96.94
Train,137,0.0970,96.95
Train,138,0.0959,96.97
Train,139,0.0962,96.96
Train,140,0.0929,97.05
Train,141,0.0914,97.20
Train,142,0.0889,97.23
Train,143,0.0887,97.17
Train,144,0.0863,97.36
Train,145,0.0853,97.31
Train,146,0.0832,97.36
Train,147,0.0832,97.36
Train,148,0.0801,97.55
Train,149,0.0778,97.58
Train,150,0.0790,97.54
Train,151,0.0762,97.63
Train,152,0.0735,97.64
Train,153,0.0719,97.65
Train,154,0.0696,97.80
Train,155,0.0680,97.82
Train,156,0.0652,97.95
Train,157,0.0629,98.02
Train,158,0.0617,98.04
Train,159,0.0604,98.11
Train,160,0.0582,98.13
Train,161,0.0562,98.20
Train,162,0.0546,98.24
Train,163,0.0536,98.30
Train,164,0.0507,98.44
Train,165,0.0503,98.41
Train,166,0.0487,98.46
Train,167,0.0470,98.55
Train,168,0.0444,98.62
Train,169,0.0443,98.66
Train,170,0.0420,98.70
Train,171,0.0410,98.75
Train,172,0.0393,98.84
Train,173,0.0387,98.86
Train,174,0.0368,98.92
Train,175,0.0352,98.99
Train,176,0.0342,99.01
Train,177,0.0327,99.11
Train,178,0.0315,99.15
Train,179,0.0307,99.22
Train,180,0.0292,99.22
Train,181,0.0286,99.28
Train,182,0.0277,99.34
Train,183,0.0268,99.33
Train,184,0.0258,99.36
Train,185,0.0249,99.45
Train,186,0.0241,99.47
Train,187,0.0237,99.50
Train,188,0.0228,99.54
Train,189,0.0223,99.58
Train,190,0.0217,99.59
Train,191,0.0212,99.64
Train,192,0.0209,99.64
Train,193,0.0205,99.66
Train,194,0.0202,99.68
Train,195,0.0199,99.66
Train,196,0.0197,99.70
Train,197,0.0195,99.69
Train,198,0.0194,99.70
Train,199,0.0193,99.70
Train,200,0.0192,99.70
