Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
MNIST,1,./checkpoints/MNIST_CO/Run1_checkpoint_TAGDW__0.pth,ERP,TAGDW,,t,0,0.075998161,97.60208333,0.087471465,97.11666667,0.082841064,97.36,0.075906264,97.60208333,0.087467881,97.11666667,0.082865018,97.37,-1,-1,-1,-1,-1,-1,168.7938421
MNIST,2,./checkpoints/MNIST_CO/Run2_checkpoint_TAGDW__0.pth,ERP,TAGDW,,t,0,0.063198179,98.0875,0.073068196,97.79166667,0.065687958,97.9,0.063026406,98.0875,0.07290905,97.78333333,0.065481805,97.9,-1,-1,-1,-1,-1,-1,176.6520574
MNIST,3,./checkpoints/MNIST_CO/Run3_checkpoint_TAGDW__0.pth,ERP,TAGDW,,t,0,0.05293916,98.37083333,0.065710049,98.04166667,0.055674115,98.23,0.052958269,98.37083333,0.065535866,98.05,0.055864838,98.19,-1,-1,-1,-1,-1,-1,259.9108045
CIFAR10,2,./checkpoints/CIFAR10/Run2_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.074449761,97.6675,0.242094825,92.21,0.218514893,92.66,2.30249784,97.0625,2.302503263,91.65,2.302503014,91.87,2.302497936,97.0975,2.302503584,91.34,2.302503095,91.82,5999.3723
FashionMNIST,1,./checkpoints/FashionMNIST_CO/Run1_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.111845312,96.15416667,0.201967622,92.65833333,0.213913487,92.31,2.302460056,96.15416667,2.302464384,92.125,2.302465161,91.88,-1,-1,-1,-1,-1,-1,6528.616621
FashionMNIST,2,./checkpoints/FashionMNIST_CO/Run2_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.119868052,95.73125,0.207638856,92.525,0.225703584,92.16,2.302454233,94.61458333,2.302458145,90.85833333,2.302458723,90.7,-1,-1,-1,-1,-1,-1,10990.50044
FashionMNIST,3,./checkpoints/FashionMNIST_CO/Run3_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.142526056,95.0125,0.200466971,92.66666667,0.221569704,92.16,2.30245023,95.0125,2.302452769,92.3,2.302454327,91.4,-1,-1,-1,-1,-1,-1,6815.513878
FashionMNIST,4,./checkpoints/FashionMNIST_CO/Run4_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.107646059,96.33125,0.203648189,92.85833333,0.216532053,92.4,2.30245775,96.33125,2.302462322,92.2,2.302462839,91.83,-1,-1,-1,-1,-1,-1,6625.829883
FashionMNIST,5,./checkpoints/FashionMNIST_CO/Run5_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.136930792,95.0125,0.19361207,92.68333333,0.212224472,92.36,2.302445892,95.0125,2.302448137,92.05833333,2.302449883,91.8,-1,-1,-1,-1,-1,-1,5304.861451
Food101,1,./checkpoints/Food101_CO/Run1_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.585211843,81.4,1.141863706,63.6,0.950375177,68.32,2.302530282,81.4,2.30254216,60.46666667,2.302538086,66.08,-1,-1,-1,-1,-1,-1,480.1781619
Food101,2,./checkpoints/Food101_CO/Run2_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.111530175,96.51666667,1.194606708,68.73333333,0.962167187,73.92,2.302556291,96.51666667,2.302566545,66.4,2.302564218,73.36,-1,-1,-1,-1,-1,-1,578.5936754
Food101,3,./checkpoints/Food101_CO/Run3_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,1.011090469,65.53333333,1.378830701,53.8,1.180331937,58.24,2.302520802,65.53333333,2.302533865,51.53333333,2.302525938,56.12,-1,-1,-1,-1,-1,-1,462.1160316
Food101,4,./checkpoints/Food101_CO/Run4_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.431772667,86.21666667,1.11674848,65.46666667,0.954786664,68.76,2.30253859,86.21666667,2.302551358,62.46666667,2.302547871,66.56,-1,-1,-1,-1,-1,-1,631.3575814
Food101,5,./checkpoints/Food101_CO/Run5_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.65071683,78.4,1.252965529,59.6,1.082388014,64.44,2.302533316,78.4,2.302547209,56.73333333,2.302543983,60.6,-1,-1,-1,-1,-1,-1,521.0015252
KMNIST,1,./checkpoints/KMNIST_CO/Run1_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.003177933,99.91041667,0.036436154,99.11666667,0.114266813,97.32,2.302558071,99.91041667,2.302558469,98.975,2.302559978,97.36,-1,-1,-1,-1,-1,-1,6661.437942
KMNIST,2,./checkpoints/KMNIST_CO/Run2_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.002082561,99.9375,0.028688102,99.25833333,0.125765306,97.17,2.302558484,99.9375,2.302558753,99.08333333,2.302560287,97.27,-1,-1,-1,-1,-1,-1,6918.70834
KMNIST,3,./checkpoints/KMNIST_CO/Run3_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.001228794,99.95833333,0.026576396,99.325,0.10702668,97.8,2.302558791,99.95833333,2.302559046,99.28333333,2.302560331,97.6,-1,-1,-1,-1,-1,-1,7061.048603
KMNIST,4,./checkpoints/KMNIST_CO/Run4_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.001406535,99.9625,0.036603999,99.125,0.118373511,97.4,2.302559861,99.9625,2.302560242,99.05833333,2.302561295,97.56,-1,-1,-1,-1,-1,-1,5852.641716
KMNIST,5,./checkpoints/KMNIST_CO/Run5_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,1.26E-06,100,0.019097099,99.525,0.103271851,98.21,2.302566526,100,2.302566778,99.43333333,2.302567618,98.12,-1,-1,-1,-1,-1,-1,6767.227818
MNIST,1,./checkpoints/MNIST_CO/Run1_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.075998157,97.60208333,0.087471458,97.11666667,0.082841061,97.36,2.298934007,97.60208333,2.2989428,97.08333333,2.298913928,97.36,-1,-1,-1,-1,-1,-1,158.5745218
MNIST,2,./checkpoints/MNIST_CO/Run2_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.063198175,98.0875,0.07306819,97.79166667,0.065687954,97.9,2.300801481,98.0875,2.300797614,97.80833333,2.300787573,97.88,-1,-1,-1,-1,-1,-1,151.2390325
MNIST,3,./checkpoints/MNIST_CO/Run3_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.05293916,98.37083333,0.06571005,98.04166667,0.055674114,98.23,2.298185944,98.37083333,2.298198235,98.06666667,2.298153164,98.25,-1,-1,-1,-1,-1,-1,160.2142887
MNIST,4,./checkpoints/MNIST_CO/Run4_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.056151113,98.275,0.074934728,97.51666667,0.061152758,97.94,2.299987069,98.275,2.299997626,97.53333333,2.29996643,97.95,-1,-1,-1,-1,-1,-1,141.1267962
MNIST,5,./checkpoints/MNIST_CO/Run5_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.064952961,97.93333333,0.077315493,97.63333333,0.071552762,97.71,2.29803567,97.93333333,2.298049241,97.64166667,2.297995409,97.66,-1,-1,-1,-1,-1,-1,137.0650485
office31,1,./checkpoints/office31_CO/Run1_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.069123873,98.83527454,0.961987766,75.77777778,0.96599112,75.48845471,3.070471997,98.83527454,3.213056674,21.11111111,3.225647481,21.31438721,-1,-1,-1,-1,-1,-1,1185.128459
office31,2,./checkpoints/office31_CO/Run2_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.24213031,95.39656129,1.085049131,72,1.054049839,73.17939609,3.427742762,95.39656129,3.429864193,20.22222222,3.429950006,19.53818828,-1,-1,-1,-1,-1,-1,1208.130898
office31,3,./checkpoints/office31_CO/Run3_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.064554178,99.27897948,0.953413032,74.66666667,0.940688866,75.13321492,3.426232704,99.27897948,3.428780545,21.33333333,3.42894669,20.42628774,-1,-1,-1,-1,-1,-1,925.4895778
office31,4,./checkpoints/office31_CO/Run4_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.014039362,99.77814753,1.01396707,76.22222222,0.983163848,77.97513321,3.426703188,99.77814753,3.429453223,17.11111111,3.42928834,17.05150977,-1,-1,-1,-1,-1,-1,945.1741235
office31,5,./checkpoints/office31_CO/Run5_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.00846991,99.83361065,1.110228206,73.55555556,0.986328468,76.19893428,3.425750802,99.83361065,3.429272056,20,3.428869136,17.58436945,-1,-1,-1,-1,-1,-1,1300.346996
SVHN,1,./checkpoints/SVHN_CO/Run1_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.166470609,95.17788585,0.238734925,93.06531977,0.192708419,94.71419791,2.302184685,95.17788585,2.302192472,92.96976316,2.30219623,94.67578365,-1,-1,-1,-1,-1,-1,1521.105545
SVHN,2,./checkpoints/SVHN_CO/Run2_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.150780994,95.76316014,0.233127732,93.54992833,0.207079731,94.12645974,2.302303715,95.76316014,2.302308189,93.33833868,2.302307603,93.99585126,-1,-1,-1,-1,-1,-1,5464.39693
SVHN,3,./checkpoints/SVHN_CO/Run3_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.15249541,95.72903336,0.232593336,93.33833868,0.223215816,93.49262446,2.302309824,95.72903336,2.302315157,93.34516415,2.302323716,93.30439459,-1,-1,-1,-1,-1,-1,9672.0579
SVHN,4,./checkpoints/SVHN_CO/Run4_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.158368729,95.58740722,0.215105902,93.7069142,0.199912384,94.37615243,2.302273247,95.58740722,2.302279142,93.41341888,2.302283957,94.19944683,-1,-1,-1,-1,-1,-1,1947.171732
EMNIST,1,./checkpoints/EMNIST_CO/Run1_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.075658878,97.01722756,0.15050777,94.91185897,0.15760763,94.84615385,3.25715638,97.01722756,3.257172444,94.04647436,3.257173136,94.12980769,-1,-1,-1,-1,-1,-1,5500.708735
EMNIST,3,./checkpoints/EMNIST_CO/Run3_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.107124591,95.96654647,0.156731405,94.42708333,0.163014422,94.32211538,3.256964892,95.96654647,3.256976888,93.9463141,3.256977151,93.80769231,-1,-1,-1,-1,-1,-1,3560.130821
EMNIST,4,./checkpoints/EMNIST_CO/Run4_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.073429406,97.06530449,0.145150962,95.10416667,0.158145828,94.82211538,3.257159464,97.06530449,3.257173313,94.1786859,3.257176923,93.97596154,-1,-1,-1,-1,-1,-1,9971.942132
EMNIST,5,./checkpoints/EMNIST_CO/Run5_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.087404119,96.59855769,0.153262115,94.8036859,0.165202806,94.42788462,3.257424714,96.59855769,3.257434922,94.23477564,3.257437445,93.91346154,-1,-1,-1,-1,-1,-1,4312.676121
USPS,1,./checkpoints/USPS_CO/Run1_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.005998688,99.87997257,0.034969433,98.97119342,0.120671546,97.20976582,2.30256699,99.87997257,2.302567337,99.03978052,2.30256806,97.1101146,-1,-1,-1,-1,-1,-1,1695.223997
USPS,2,./checkpoints/USPS_CO/Run2_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.001378196,99.98285322,0.022180504,99.45130316,0.136745813,96.96063777,2.302569233,99.98285322,2.302569389,99.24554184,2.302570045,97.06028899,-1,-1,-1,-1,-1,-1,1042.997835
USPS,3,./checkpoints/USPS_CO/Run3_checkpoint_RAB__0.pth,ERP,TAGD,,t,0,0.001381774,99.98285322,0.024907451,99.31412894,0.1407361,96.96063777,2.302565847,99.98285322,2.302566087,99.10836763,2.302566908,96.6118585,-1,-1,-1,-1,-1,-1,1085.19906
USPS,4,./checkpoints/USPS_CO/Run4_checkpoint_TAGD__0.pth,ERP,TAGD,,t,0,0.000479077,100,0.034015066,99.17695473,0.154534002,96.76133533,2.302569772,100,2.302570024,99.24554184,2.302570617,97.01046338,-1,-1,-1,-1,-1,-1,1482.89415
