Using device: cuda
Epoch [1/300], Train Loss: 2.1198, Train Acc: 26.19%
Epoch [2/300], Train Loss: 1.6209, Train Acc: 39.53%
Epoch [3/300], Train Loss: 1.4201, Train Acc: 47.80%
Epoch [4/300], Train Loss: 1.2403, Train Acc: 54.81%
Epoch [5/300], Train Loss: 1.0682, Train Acc: 61.66%
Epoch [6/300], Train Loss: 0.9554, Train Acc: 65.91%
Epoch [7/300], Train Loss: 0.8495, Train Acc: 69.86%
Epoch [8/300], Train Loss: 0.7718, Train Acc: 72.87%
Epoch [9/300], Train Loss: 0.6835, Train Acc: 76.34%
Epoch [10/300], Train Loss: 0.6296, Train Acc: 78.28%
Epoch [11/300], Train Loss: 0.5933, Train Acc: 79.67%
Epoch [12/300], Train Loss: 0.5634, Train Acc: 80.55%
Epoch [13/300], Train Loss: 0.5344, Train Acc: 81.39%
Epoch [14/300], Train Loss: 0.5151, Train Acc: 82.22%
Epoch [15/300], Train Loss: 0.4929, Train Acc: 83.03%
Epoch [16/300], Train Loss: 0.4847, Train Acc: 83.46%
Epoch [17/300], Train Loss: 0.4613, Train Acc: 84.34%
Epoch [18/300], Train Loss: 0.4554, Train Acc: 84.42%
Epoch [19/300], Train Loss: 0.4421, Train Acc: 84.91%
Epoch [20/300], Train Loss: 0.4323, Train Acc: 85.20%
Epoch [21/300], Train Loss: 0.4319, Train Acc: 85.19%
Epoch [22/300], Train Loss: 0.4132, Train Acc: 85.86%
Epoch [23/300], Train Loss: 0.4132, Train Acc: 85.92%
Epoch [24/300], Train Loss: 0.4013, Train Acc: 86.21%
Epoch [25/300], Train Loss: 0.4042, Train Acc: 86.10%
Epoch [26/300], Train Loss: 0.3879, Train Acc: 86.66%
Epoch [27/300], Train Loss: 0.3835, Train Acc: 86.85%
Epoch [28/300], Train Loss: 0.3866, Train Acc: 86.75%
Epoch [29/300], Train Loss: 0.3775, Train Acc: 87.10%
Epoch [30/300], Train Loss: 0.3775, Train Acc: 86.89%
Epoch [31/300], Train Loss: 0.3707, Train Acc: 87.28%
Epoch [32/300], Train Loss: 0.3688, Train Acc: 87.37%
Epoch [33/300], Train Loss: 0.3653, Train Acc: 87.52%
Epoch [34/300], Train Loss: 0.3618, Train Acc: 87.69%
Epoch [35/300], Train Loss: 0.3557, Train Acc: 87.77%
Epoch [36/300], Train Loss: 0.3629, Train Acc: 87.53%
Epoch [37/300], Train Loss: 0.3544, Train Acc: 87.78%
Epoch [38/300], Train Loss: 0.3443, Train Acc: 88.09%
Epoch [39/300], Train Loss: 0.3523, Train Acc: 87.89%
Epoch [40/300], Train Loss: 0.3470, Train Acc: 88.26%
Epoch [41/300], Train Loss: 0.3440, Train Acc: 88.30%
Epoch [42/300], Train Loss: 0.3410, Train Acc: 88.53%
Epoch [43/300], Train Loss: 0.3478, Train Acc: 88.05%
Epoch [44/300], Train Loss: 0.3348, Train Acc: 88.56%
Epoch [45/300], Train Loss: 0.3328, Train Acc: 88.69%
Epoch [46/300], Train Loss: 0.3335, Train Acc: 88.76%
Epoch [47/300], Train Loss: 0.3331, Train Acc: 88.55%
Epoch [48/300], Train Loss: 0.3314, Train Acc: 88.60%
Epoch [49/300], Train Loss: 0.3307, Train Acc: 88.70%
Epoch [50/300], Train Loss: 0.3333, Train Acc: 88.64%
Epoch [51/300], Train Loss: 0.3267, Train Acc: 88.80%
Epoch [52/300], Train Loss: 0.3310, Train Acc: 88.76%
Epoch [53/300], Train Loss: 0.3307, Train Acc: 88.60%
Epoch [54/300], Train Loss: 0.3219, Train Acc: 88.91%
Epoch [55/300], Train Loss: 0.3297, Train Acc: 88.77%
Epoch [56/300], Train Loss: 0.3202, Train Acc: 89.22%
Epoch [57/300], Train Loss: 0.3208, Train Acc: 88.95%
Epoch [58/300], Train Loss: 0.3194, Train Acc: 89.16%
Epoch [59/300], Train Loss: 0.3211, Train Acc: 89.02%
Epoch [60/300], Train Loss: 0.3133, Train Acc: 89.40%
Epoch [61/300], Train Loss: 0.3178, Train Acc: 89.25%
Epoch [62/300], Train Loss: 0.3148, Train Acc: 89.27%
Epoch [63/300], Train Loss: 0.3177, Train Acc: 89.16%
Epoch [64/300], Train Loss: 0.3146, Train Acc: 89.09%
Epoch [65/300], Train Loss: 0.3159, Train Acc: 89.18%
Epoch [66/300], Train Loss: 0.3126, Train Acc: 89.28%
Epoch [67/300], Train Loss: 0.3192, Train Acc: 89.10%
