Dataset,Row,N_Sample,Col,Seed,Mismatch,FlipTry,Flipped,Flip_Percentage,Tr_Acc,Val_Acc,Tr_loss,Val_loss
cleve.csv,303,242,13,0,1,1,2,0.66,0.8419117647058824,0.7741935483870968,0.37810441851615906,0.42610687017440796
cleve.csv,303,242,13,10,1,1,2,0.66,0.8419117647058824,0.9354838709677419,0.429729700088501,0.3311469554901123
cleve.csv,303,242,13,30,1,1,2,0.66,0.8492647058823529,0.9354838709677419,0.3776753842830658,0.25290608406066895
cleve.csv,303,242,13,40,1,1,1,0.33,0.8602941176470589,0.7741935483870968,0.4115804433822632,0.46564608812332153
cleve.csv,303,242,13,50,1,1,1,0.33,0.8566176470588235,0.7741935483870968,0.4257104992866516,0.4910537004470825
cleve.csv,303,242,13,60,1,1,2,0.66,0.8382352941176471,0.7741935483870968,0.43927493691444397,0.4656565487384796
cleve.csv,303,242,13,70,1,1,2,0.66,0.8492647058823529,0.7741935483870968,0.3935881555080414,0.4920670986175537
cleve.csv,303,242,13,80,1,1,2,0.66,0.8419117647058824,0.7419354838709677,0.39259299635887146,0.6153103709220886
cleve.csv,303,242,13,90,1,1,1,0.33,0.8382352941176471,0.967741935483871,0.4534412622451782,0.3939587473869324
fri_c2_100_10.csv,100,80,10,0,1,1,1,1.00,0.7888888888888889,0.8,0.5079632997512817,0.55915367603302
fri_c2_100_10.csv,100,80,10,10,1,1,4,4.00,0.4777777777777778,0.8,0.7030216455459595,0.6014471650123596
fri_c2_100_10.csv,100,80,10,20,1,1,2,2.00,0.8888888888888888,0.7,0.4258412718772888,0.49799853563308716
fri_c2_100_10.csv,100,80,10,30,1,1,5,5.00,0.8222222222222222,0.9,0.44187867641448975,0.31610608100891113
fri_c2_100_10.csv,100,80,10,40,1,1,1,1.00,0.5222222222222223,0.8,0.6877791285514832,0.6174343824386597
fri_c2_100_10.csv,100,80,10,50,1,1,1,1.00,0.7777777777777778,0.5,0.5593718886375427,0.6393327116966248
fri_c2_100_10.csv,100,80,10,60,1,1,19,19.00,0.5444444444444444,0.6,0.674708366394043,0.6885792016983032
fri_c2_100_10.csv,100,80,10,70,1,1,1,1.00,0.8555555555555555,0.9,0.4100562334060669,0.32973140478134155
fri_c2_100_10.csv,100,80,10,80,1,1,1,1.00,0.5444444444444444,0.6,0.6904798150062561,0.6781802177429199
fri_c2_100_10.csv,100,80,10,90,1,1,8,8.00,0.4444444444444444,0.6,0.7079243659973145,0.6813489198684692
AP_Breast_Kidney.csv,604,483,10935,0,1,1,6,0.99,0.990791896869245,0.9836065573770492,0.14008969068527222,0.26497358083724976
AP_Breast_Kidney.csv,604,483,10935,10,1,1,6,0.99,0.994475138121547,0.9672131147540983,0.012824471108615398,0.050137151032686234
AP_Breast_Kidney.csv,604,483,10935,20,1,1,5,0.83,0.990791896869245,1.0,0.04836704954504967,0.020483167842030525
AP_Breast_Kidney.csv,604,483,10935,30,1,1,22,3.64,0.988950276243094,0.9672131147540983,0.016503017395734787,0.06169257313013077
AP_Breast_Kidney.csv,604,483,10935,40,1,1,1,0.17,0.992633517495396,0.9508196721311475,0.010356604121625423,0.3203684985637665
AP_Breast_Kidney.csv,604,483,10935,50,1,1,14,2.32,0.998158379373849,0.9508196721311475,0.10224765539169312,0.2072751522064209
AP_Breast_Kidney.csv,604,483,10935,60,1,1,6,0.99,0.996316758747698,1.0,0.007511449977755547,0.01582685112953186
AP_Breast_Kidney.csv,604,483,10935,70,1,1,31,5.13,0.990791896869245,1.0,0.04942534118890762,0.024894189089536667
AP_Breast_Kidney.csv,604,483,10935,80,1,1,2,0.33,0.996316758747698,0.9836065573770492,0.009156743064522743,0.0801427885890007
AP_Breast_Kidney.csv,604,483,10935,90,1,1,1,0.17,0.992633517495396,0.9672131147540983,0.20262748003005981,0.41218411922454834
fri_c3_100_5.csv,100,80,5,0,1,1,1,1.00,0.7666666666666667,0.7,0.5776408910751343,0.6472799181938171
fri_c3_100_5.csv,100,80,5,10,1,1,4,4.00,0.6,0.4,0.6828067302703857,0.700627326965332
fri_c3_100_5.csv,100,80,5,20,1,1,1,1.00,0.5888888888888889,0.3,0.6716723442077637,0.7728766202926636
fri_c3_100_5.csv,100,80,5,30,1,1,1,1.00,0.7444444444444445,0.9,0.5473996996879578,0.5072026252746582
fri_c3_100_5.csv,100,80,5,40,1,1,3,3.00,0.7444444444444445,1.0,0.5937624573707581,0.47216853499412537
fri_c3_100_5.csv,100,80,5,50,1,1,1,1.00,0.5777777777777777,0.4,0.6866546869277954,0.700562596321106
fri_c3_100_5.csv,100,80,5,60,1,1,20,20.00,0.4777777777777778,0.7,0.6926949620246887,0.6735943555831909
fri_c3_100_5.csv,100,80,5,70,1,1,10,10.00,0.8333333333333334,1.0,0.5150629878044128,0.44893914461135864
fri_c3_100_5.csv,100,80,5,80,1,1,5,5.00,0.3888888888888889,0.9,0.7392933964729309,0.5893634557723999
fri_c3_100_5.csv,100,80,5,90,1,1,2,2.00,0.5888888888888889,0.7,0.6893185973167419,0.6880300641059875
tecator.csv,240,192,124,0,1,1,24,10.00,0.9768518518518519,0.9166666666666666,0.2448030710220337,0.2961949408054352
tecator.csv,240,192,124,10,1,1,8,3.33,0.9722222222222222,0.9583333333333334,0.08869119733572006,0.2162950187921524
tecator.csv,240,192,124,20,1,1,1,0.42,0.9953703703703703,1.0,0.04405105486512184,0.061074431985616684
tecator.csv,240,192,124,30,1,1,2,0.83,0.9722222222222222,1.0,0.06495881080627441,0.029034553095698357
tecator.csv,240,192,124,40,1,1,1,0.42,0.9907407407407407,0.9166666666666666,0.06766433268785477,0.12084849923849106
tecator.csv,240,192,124,50,1,1,1,0.42,0.9861111111111112,0.9583333333333334,0.07044679671525955,0.0900750383734703
tecator.csv,240,192,124,60,1,1,5,2.08,0.9768518518518519,0.9166666666666666,0.1369757354259491,0.33054545521736145
tecator.csv,240,192,124,70,1,1,2,0.83,0.9861111111111112,1.0,0.05496570095419884,0.038119055330753326
tecator.csv,240,192,124,80,1,1,1,0.42,0.9861111111111112,0.9583333333333334,0.04606184735894203,0.06103673577308655
tecator.csv,240,192,124,90,1,1,2,0.83,0.9814814814814815,0.9583333333333334,0.12543947994709015,0.132793128490448
fri_c3_1000_50.csv,1000,800,50,0,1,1,1,0.10,0.7666666666666667,0.68,0.5320850014686584,0.6131113171577454
fri_c3_1000_50.csv,1000,800,50,10,1,1,1,0.10,0.7666666666666667,0.73,0.5313202142715454,0.5716304779052734
fri_c3_1000_50.csv,1000,800,50,30,1,1,3,0.30,0.7466666666666667,0.63,0.5482548475265503,0.6427940130233765
fri_c3_1000_50.csv,1000,800,50,40,1,1,2,0.20,0.7266666666666667,0.72,0.5655918121337891,0.5660960078239441
fri_c3_1000_50.csv,1000,800,50,50,1,1,4,0.40,0.7311111111111112,0.6,0.5604237914085388,0.6756861805915833
fri_c3_1000_50.csv,1000,800,50,60,1,1,4,0.40,0.7511111111111111,0.62,0.5678488612174988,0.6505669951438904
fri_c3_1000_50.csv,1000,800,50,70,1,1,1,0.10,0.7655555555555555,0.69,0.5249643325805664,0.6362470388412476
fri_c3_1000_50.csv,1000,800,50,80,1,1,1,0.10,0.7555555555555555,0.65,0.5520802736282349,0.6029693484306335
fri_c3_1000_50.csv,1000,800,50,90,1,1,3,0.30,0.7411111111111112,0.62,0.5498840808868408,0.6243921518325806
fri_c2_500_50.csv,500,400,50,0,1,1,3,0.60,0.8311111111111111,0.72,0.45623132586479187,0.5478625297546387
fri_c2_500_50.csv,500,400,50,10,1,1,3,0.60,0.7933333333333333,0.6,0.5986216068267822,0.7126873731613159
fri_c2_500_50.csv,500,400,50,20,1,1,2,0.40,0.8511111111111112,0.76,0.4115968942642212,0.5616433024406433
fri_c2_500_50.csv,500,400,50,30,1,1,1,0.20,0.8111111111111111,0.76,0.45852240920066833,0.49297037720680237
fri_c2_500_50.csv,500,400,50,40,1,1,3,0.60,0.7955555555555556,0.78,0.48883891105651855,0.5835508108139038
fri_c2_500_50.csv,500,400,50,50,1,1,1,0.20,0.8333333333333334,0.64,0.46032416820526123,0.7465970516204834
fri_c2_500_50.csv,500,400,50,60,1,1,1,0.20,0.8244444444444444,0.68,0.4603278338909149,0.6290431022644043
fri_c2_500_50.csv,500,400,50,70,1,1,2,0.40,0.8288888888888889,0.7,0.44487228989601135,0.4986534118652344
fri_c2_500_50.csv,500,400,50,80,1,1,4,0.80,0.7844444444444445,0.68,0.5131668448448181,0.6888017058372498
fri_c2_500_50.csv,500,400,50,90,1,1,1,0.20,0.8444444444444444,0.76,0.48519444465637207,0.5934775471687317
autoUniv-au1-1000.csv,1000,800,20,0,1,1,8,0.80,0.7411111111111112,0.76,0.5136475563049316,0.527903139591217
autoUniv-au1-1000.csv,1000,800,20,10,1,1,10,1.00,0.7422222222222222,0.73,0.5096379518508911,0.5443664193153381
autoUniv-au1-1000.csv,1000,800,20,30,1,1,5,0.50,0.7455555555555555,0.76,0.5121814012527466,0.5090057253837585
autoUniv-au1-1000.csv,1000,800,20,40,1,1,4,0.40,0.7444444444444445,0.71,0.5265634655952454,0.5880753397941589
autoUniv-au1-1000.csv,1000,800,20,50,1,1,2,0.20,0.7411111111111112,0.74,0.5168527960777283,0.5714552402496338
autoUniv-au1-1000.csv,1000,800,20,60,1,1,1,0.10,0.7455555555555555,0.7,0.504464328289032,0.5847301483154297
autoUniv-au1-1000.csv,1000,800,20,70,1,1,2,0.20,0.7777777777777778,0.82,0.5192506909370422,0.47420111298561096
autoUniv-au1-1000.csv,1000,800,20,90,1,1,2,0.20,0.7766666666666666,0.79,0.4972812235355377,0.48845264315605164
acute-inflammations.csv,120,96,6,0,1,1,2,1.67,1.0,1.0,0.00314160855486989,0.0015495953848585486
