Dataset,Classes,Runs,Method,Time
CIFAR10,4,Run1,RAF,110.8782742023468
CIFAR10,6,Run1,RAF,258.015748500824
CIFAR10,8,Run1,RAF,488.2470235824585
CIFAR10,10,Run1,RAF,638.4576680660248
CIFAR10,4,Run2,RAF,188.04933261871338
CIFAR10,6,Run2,RAF,342.9236509799957
CIFAR10,8,Run2,RAF,328.91288137435913
CIFAR10,10,Run2,RAF,349.4883828163147
CIFAR10,4,Run3,RAF,140.64588809013367
CIFAR10,6,Run3,RAF,172.84992384910583
CIFAR10,8,Run3,RAF,445.49080538749695
CIFAR10,10,Run3,RAF,470.30090498924255
CIFAR10,4,Run4,RAF,208.68616938591003
CIFAR10,6,Run4,RAF,297.42600083351135
CIFAR10,8,Run4,RAF,336.33192467689514
CIFAR10,10,Run4,RAF,648.3430218696594
CIFAR10,4,Run5,RAF,207.35855650901794
CIFAR10,6,Run5,RAF,168.13572525978088
CIFAR10,8,Run5,RAF,217.34464955329895
CIFAR10,10,Run5,RAF,352.3879647254944
