Dataset,Classes,Runs,Method,Time
CIFAR10,4,Run1,RAF,22.509058475494385
CIFAR10,6,Run1,RAF,77.52584433555603
CIFAR10,8,Run1,RAF,37.832982540130615
CIFAR10,10,Run1,RAF,52.76439619064331
CIFAR10,2,Run2,RAF,10.126484155654907
CIFAR10,4,Run2,RAF,173.8347523212433
CIFAR10,6,Run2,RAF,54.84644961357117
CIFAR10,8,Run2,RAF,44.81663131713867
CIFAR10,10,Run2,RAF,42.7880175113678
CIFAR10,2,Run3,RAF,15.704576253890991
CIFAR10,4,Run3,RAF,110.15761280059814
CIFAR10,6,Run3,RAF,33.688581466674805
CIFAR10,8,Run3,RAF,95.49030613899231
CIFAR10,10,Run3,RAF,46.91871166229248
CIFAR10,2,Run4,RAF,16.954168796539307
CIFAR10,4,Run4,RAF,30.04913306236267
CIFAR10,6,Run4,RAF,22.776496171951294
CIFAR10,8,Run4,RAF,33.77690768241882
CIFAR10,10,Run4,RAF,44.42538285255432
CIFAR10,4,Run5,RAF,38.643803358078
CIFAR10,6,Run5,RAF,25.283457279205322
CIFAR10,8,Run5,RAF,39.38349151611328
CIFAR10,10,Run5,RAF,57.18661141395569
CIFAR10,2,Run1,RAF,495.13723635673523
CIFAR10,4,Run1,RAF,110.8782742023468
CIFAR10,6,Run1,RAF,258.015748500824
CIFAR10,8,Run1,RAF,488.2470235824585
CIFAR10,10,Run1,RAF,638.4576680660248
CIFAR10,2,Run2,RAF,521.1775331497192
CIFAR10,4,Run2,RAF,188.04933261871338
CIFAR10,6,Run2,RAF,342.9236509799957
CIFAR10,8,Run2,RAF,328.91288137435913
CIFAR10,10,Run2,RAF,349.4883828163147
CIFAR10,2,Run3,RAF,552.1168389320374
CIFAR10,4,Run3,RAF,140.64588809013367
CIFAR10,6,Run3,RAF,172.84992384910583
CIFAR10,8,Run3,RAF,445.49080538749695
CIFAR10,10,Run3,RAF,470.30090498924255
CIFAR10,2,Run4,RAF,429.02436542510986
CIFAR10,4,Run4,RAF,208.68616938591003
CIFAR10,6,Run4,RAF,297.42600083351135
CIFAR10,8,Run4,RAF,336.33192467689514
CIFAR10,10,Run4,RAF,648.3430218696594
CIFAR10,2,Run5,RAF,349.85085558891296
CIFAR10,4,Run5,RAF,207.35855650901794
CIFAR10,6,Run5,RAF,168.13572525978088
CIFAR10,8,Run5,RAF,217.34464955329895
CIFAR10,10,Run5,RAF,352.3879647254944
