Dataset,Sample_Size,Runs,Method,Time
CpIFAR101,1000,Run1,RAF,43.88785099983215
CpIFAR101,2000,Run1,RAF,107.95459222793579
CpIFAR101,3000,Run1,RAF,181.0645134449005
CpIFAR101,4000,Run1,RAF,253.00493955612183
CpIFAR101,5000,Run1,RAF,412.6437621116638
CpIFAR101,6000,Run1,RAF,583.8582301139832
CpIFAR101,7000,Run1,RAF,753.5548708438873
CpIFAR101,8000,Run1,RAF,944.5803959369659
CpIFAR101,9000,Run1,RAF,1736.569082736969
CpIFAR101,15000,Run1,RAF,2922.196389913559
CpIFAR101,1000,Run1,RAF,43.052337408065796
CpIFAR101,2000,Run1,RAF,187.9452669620514
CpIFAR101,3000,Run1,RAF,429.2514474391937
CpIFAR101,4000,Run1,RAF,678.9229786396027
CpIFAR101,5000,Run1,RAF,878.3332314491272
CpIFAR101,6000,Run1,RAF,1702.6939063072205
CpIFAR101,7000,Run1,RAF,3023.8549020290375
CpIFAR101,8000,Run1,RAF,3741.5669751167297
CpIFAR101,9000,Run1,RAF,2612.248400449753
CpIFAR101,10000,Run1,RAF,3773.8266484737396
CpIFAR101,15000,Run1,RAF,3861.0742008686066
CIFAR10,1000,Run1,RAF,45.77302384376526
CIFAR10,2000,Run1,RAF,97.08140563964844
CIFAR10,3000,Run1,RAF,236.955340385437
CIFAR10,4000,Run1,RAF,320.6104323863983
CIFAR10,5000,Run1,RAF,507.65237760543823
CIFAR10,6000,Run1,RAF,740.8862645626068
CIFAR10,7000,Run1,RAF,1121.7455809116364
CIFAR10,8000,Run1,RAF,1959.002828836441
CIFAR10,9000,Run1,RAF,3768.941246509552
CIFAR10,1000,Run2,RAF,36.86644697189331
CIFAR10,2000,Run2,RAF,68.42977714538574
CIFAR10,3000,Run2,RAF,198.18737196922302
CIFAR10,4000,Run2,RAF,296.98868203163147
CIFAR10,5000,Run2,RAF,503.888388633728
CIFAR10,6000,Run2,RAF,686.8148033618927
CIFAR10,7000,Run2,RAF,1187.8792090415955
CIFAR10,8000,Run2,RAF,1253.9938910007477
CIFAR10,9000,Run2,RAF,3767.58251452446
CIFAR10,1000,Run3,RAF,37.60762071609497
CIFAR10,2000,Run3,RAF,73.66837120056152
CIFAR10,3000,Run3,RAF,232.40402388572693
CIFAR10,4000,Run3,RAF,375.46416568756104
CIFAR10,5000,Run3,RAF,597.1915271282196
CIFAR10,6000,Run3,RAF,911.9653418064117
CIFAR10,7000,Run3,RAF,1322.8235685825348
CIFAR10,8000,Run3,RAF,1587.8976047039032
CIFAR10,9000,Run3,RAF,1853.631198644638
CIFAR10,1000,Run4,RAF,86.77081203460693
CIFAR10,2000,Run4,RAF,104.4097831249237
CIFAR10,3000,Run4,RAF,314.4492754936218
CIFAR10,4000,Run4,RAF,501.3165924549103
CIFAR10,5000,Run4,RAF,2463.179609298706
CIFAR10,6000,Run4,RAF,1569.4581727981567
CIFAR10,7000,Run4,RAF,1316.0254018306732
CIFAR10,8000,Run4,RAF,3387.9696502685547
CIFAR10,9000,Run4,RAF,2210.2172935009003
CIFAR10,1000,Run5,RAF,44.957600831985474
CIFAR10,2000,Run5,RAF,95.21475386619568
CIFAR10,3000,Run5,RAF,325.5795714855194
CIFAR10,4000,Run5,RAF,482.146924495697
CIFAR10,5000,Run5,RAF,603.8360075950623
CIFAR10,6000,Run5,RAF,781.590080499649
CIFAR10,7000,Run5,RAF,943.2027308940887
CIFAR10,9000,Run5,RAF,2861.7297530174255
