Dataset,Sample_Size,Runs,Method,Time
CIFAR10,1000,Run1,RAB,34.379108905792236
CIFAR10,2000,Run1,RAB,63.83687877655029
CIFAR10,3000,Run1,RAB,89.1911108493805
CIFAR10,4000,Run1,RAB,107.59429359436035
CIFAR10,5000,Run1,RAB,157.23328351974487
CIFAR10,6000,Run1,RAB,186.19634127616882
CIFAR10,7000,Run1,RAB,209.80418419837952
CIFAR10,8000,Run1,RAB,247.60424327850342
CIFAR10,9000,Run1,RAB,259.731675863266
CIFAR10,10000,Run1,RAB,330.9857015609741
CIFAR10,1000,Run2,RAB,30.256596326828003
CIFAR10,2000,Run2,RAB,55.30551075935364
CIFAR10,3000,Run2,RAB,81.05749034881592
CIFAR10,4000,Run2,RAB,108.04388356208801
CIFAR10,5000,Run2,RAB,136.4571385383606
CIFAR10,6000,Run2,RAB,167.87086820602417
CIFAR10,7000,Run2,RAB,199.2346510887146
CIFAR10,8000,Run2,RAB,239.95503616333008
CIFAR10,9000,Run2,RAB,293.77296781539917
CIFAR10,10000,Run2,RAB,321.7706892490387
CIFAR10,1000,Run3,RAB,27.276774168014526
CIFAR10,2000,Run3,RAB,57.20317888259888
CIFAR10,3000,Run3,RAB,80.36464309692383
CIFAR10,4000,Run3,RAB,106.49804854393005
CIFAR10,5000,Run3,RAB,133.1359224319458
CIFAR10,6000,Run3,RAB,181.66355895996094
CIFAR10,7000,Run3,RAB,190.91481733322144
CIFAR10,8000,Run3,RAB,246.4035837650299
CIFAR10,9000,Run3,RAB,249.75084257125854
CIFAR10,10000,Run3,RAB,289.2839412689209
CIFAR10,1000,Run4,RAB,26.485429048538208
CIFAR10,2000,Run4,RAB,54.65938639640808
CIFAR10,3000,Run4,RAB,79.44764685630798
CIFAR10,4000,Run4,RAB,109.20043849945068
CIFAR10,5000,Run4,RAB,134.48220562934875
CIFAR10,6000,Run4,RAB,157.11743307113647
CIFAR10,7000,Run4,RAB,190.144061088562
CIFAR10,8000,Run4,RAB,219.34964656829834
CIFAR10,9000,Run4,RAB,250.66041445732117
CIFAR10,10000,Run4,RAB,285.912965297699
CIFAR10,1000,Run5,RAB,30.139847993850708
CIFAR10,2000,Run5,RAB,62.25677847862244
CIFAR10,3000,Run5,RAB,85.1389708518982
CIFAR10,4000,Run5,RAB,117.75707364082336
CIFAR10,5000,Run5,RAB,148.15100622177124
CIFAR10,6000,Run5,RAB,186.25287079811096
CIFAR10,7000,Run5,RAB,217.32302141189575
CIFAR10,8000,Run5,RAB,235.21554470062256
CIFAR10,9000,Run5,RAB,265.9067406654358
CIFAR10,10000,Run5,RAB,298.3335340023041
MNIST,1000,Run1,RAB,4.658391714096069
MNIST,2000,Run1,RAB,8.695174932479858
MNIST,3000,Run1,RAB,13.507180213928223
MNIST,4000,Run1,RAB,16.777002096176147
MNIST,5000,Run1,RAB,27.80079960823059
MNIST,6000,Run1,RAB,25.23073172569275
MNIST,7000,Run1,RAB,29.598918914794922
MNIST,8000,Run1,RAB,45.60820531845093
MNIST,9000,Run1,RAB,40.705463886260986
MNIST,10000,Run1,RAB,44.58518147468567
MNIST,1000,Run2,RAB,4.87825345993042
MNIST,2000,Run2,RAB,8.876804828643799
MNIST,3000,Run2,RAB,17.173279285430908
MNIST,4000,Run2,RAB,18.716737031936646
MNIST,5000,Run2,RAB,22.2889301776886
MNIST,6000,Run2,RAB,27.745476961135864
MNIST,7000,Run2,RAB,31.119144201278687
MNIST,8000,Run2,RAB,36.211997747421265
MNIST,9000,Run2,RAB,59.629024028778076
MNIST,10000,Run2,RAB,42.75118565559387
MNIST,1000,Run3,RAB,4.804589748382568
MNIST,2000,Run3,RAB,8.573260068893433
MNIST,3000,Run3,RAB,15.84367823600769
MNIST,4000,Run3,RAB,21.705947875976562
MNIST,5000,Run3,RAB,22.009461879730225
MNIST,6000,Run3,RAB,36.11630368232727
MNIST,7000,Run3,RAB,29.277005672454834
MNIST,8000,Run3,RAB,35.15316963195801
MNIST,9000,Run3,RAB,37.59994149208069
MNIST,10000,Run3,RAB,41.81423544883728
MNIST,1000,Run4,RAB,4.62102484703064
MNIST,2000,Run4,RAB,8.650232315063477
MNIST,3000,Run4,RAB,12.595741748809814
MNIST,4000,Run4,RAB,21.182988166809082
MNIST,5000,Run4,RAB,28.420084476470947
MNIST,6000,Run4,RAB,25.143306255340576
MNIST,7000,Run4,RAB,28.870227098464966
MNIST,8000,Run4,RAB,21.429630994796753
MNIST,9000,Run4,RAB,37.31723499298096
MNIST,10000,Run4,RAB,43.2064642906189
MNIST,1000,Run5,RAB,4.623328924179077
MNIST,2000,Run5,RAB,8.604237079620361
MNIST,3000,Run5,RAB,15.989002466201782
MNIST,4000,Run5,RAB,22.366180658340454
MNIST,5000,Run5,RAB,21.295350790023804
MNIST,6000,Run5,RAB,24.750815868377686
MNIST,7000,Run5,RAB,31.081735372543335
MNIST,8000,Run5,RAB,32.874441623687744
MNIST,9000,Run5,RAB,37.407307863235474
MNIST,10000,Run5,RAB,42.907618284225464
