Dataset,n,col_size,Iteration,Accuracy
AP_Endometrium_Lung.csv,187,10935,0,0.9947
AP_Endometrium_Omentum.csv,138,10935,0,0.9928
AP_Endometrium_Prostate.csv,130,10935,0,1.0000
AP_Endometrium_Prostate.csv,130,10935,1,1.0000
AP_Endometrium_Uterus.csv,185,10935,0,1.0000
AP_Omentum_Prostate.csv,146,10935,0,1.0000
AP_Prostate_Lung.csv,195,10935,0,1.0000
AP_Prostate_Uterus.csv,193,10935,0,1.0000
GCM.csv,190,16063,0,0.0579
anthracyclineTaxaneChemotherapy.csv,159,61359,0,1.0000
arcene.csv,200,10000,0,1.0000
dbworld-bodies.csv,64,4702,0,0.9844
dbworld-bodies.csv,64,4702,1,0.9844
dbworld-bodies.csv,64,4702,2,0.9844
dbworld-bodies.csv,64,4702,3,0.9844
1096_FacultySalaries.csv,50,4,0,0.0000
195_auto_price.csv,159,15,0,0.0000
207_autoPrice.csv,159,15,0,0.0000
210_cloud.csv,108,5,0,0.0093
228_elusage.csv,55,2,0,0.0000
229_pwLinear.csv,200,10,0,0.0000
523_analcatdata_neavote.csv,100,2,0,0.0000
527_analcatdata_election2000.csv,67,14,0,0.0000
542_pollution.csv,60,15,0,0.0000
591_fri_c1_100_10.csv,100,10,0,0.0000
594_fri_c2_100_5.csv,100,5,0,0.0000
624_fri_c0_100_5.csv,100,5,0,0.0000
611_fri_c3_100_5.csv,100,5,0,0.0000
621_fri_c0_100_10.csv,100,10,0,0.0000
656_fri_c1_100_5.csv,100,5,0,0.0000
663_rabe_266.csv,120,2,0,0.0000
634_fri_c2_100_10.csv,100,10,0,0.0000
651_fri_c0_100_25.csv,100,25,0,0.0000
665_sleuth_case2002.csv,147,6,0,0.1156
678_visualizing_environmental.csv,111,3,0,0.0000
687_sleuth_ex1605.csv,62,5,0,0.0000
706_sleuth_case1202.csv,93,6,0,0.0323
leukemia.csv,72,7129,0,1.0000
lymphoma_11classes.csv,96,4026,0,0.2292
lymphoma_9classes.csv,96,4026,0,0.4792
rsctc2010_1.csv,105,22283,0,0.5524
rsctc2010_1.csv,105,22283,1,0.5619
rsctc2010_1.csv,105,22283,2,0.5524
rsctc2010_2.csv,105,22283,0,0.5524
rsctc2010_2.csv,105,22283,1,0.5619
rsctc2010_2.csv,105,22283,2,0.5524
rsctc2010_3.csv,95,22277,0,0.2421
rsctc2010_4.csv,113,54675,0,0.0973
rsctc2010_5.csv,89,54613,0,0.1798
rsctc2010_6.csv,92,59004,0,0.1196
