Test_Length,Threshold,Flip_ID,Mismatch,Max_Abs_Diff,Median_Diff,Mean_Diff,Sum_Abs_Diff,Geomean_Diff
20,1.00E-09,0,0,0.296055861,1.75E-09,0.038340702,1.533628085,0.036419925
20,1.00E-09,1,1,3.596099121,4.02E-09,0.281454411,11.25817644,0.177693864
20,1.00E-09,2,0,4.841941777,0.052021847,0.451109889,18.04439558,0.304399408
20,1.00E-09,3,0,0.205156489,0,0.027332567,1.093302699,0.025857249
20,1.00E-09,4,0,0.048559744,0,0.006244918,0.249796738,0.006182091
20,1.00E-09,5,0,0.199413777,0,0.028370049,1.134801977,0.026813122
20,1.00E-09,6,1,1.37530701,0.01855284,0.12369382,4.947752805,0.097758553
20,1.00E-09,7,0,5.367281924,0,0.251900277,10.07601108,0.143178653
20,1.00E-09,8,0,0.251169033,0,0.035672211,1.426888448,0.034103739
20,1.00E-09,9,0,1.587541964,0.013238089,0.158282812,6.331312471,0.127160565
20,1.00E-09,10,0,0.381591443,0,0.016495815,0.659832587,0.015054143
20,1.00E-09,11,0,0.867346827,0,0.105186693,4.207467727,0.088603758
20,1.00E-09,12,0,1.000000001,0,0.029870266,1.194810638,0.022393674
20,1.00E-09,13,0,0.366782849,0,0.040532506,1.621300238,0.037044164
20,1.00E-09,14,0,1.472000294,0.014164849,0.12368975,4.947590017,0.10148345
20,1.00E-09,15,0,2.195498182,0,0.181054547,7.242181863,0.125321716
20,1.00E-09,16,0,0.592527473,0.00171455,0.082581715,3.303268603,0.072557128
20,1.00E-09,17,0,2.563894117,0.004019112,0.2686488,10.74595198,0.180976936
20,1.00E-09,18,0,2.886948302,0,0.141484313,5.659372517,0.100346053
20,1.00E-09,19,0,0.251234704,2.62E-05,0.019876741,0.795069635,0.018749226
20,1.00E-07,0,0,0.290607611,0,0.03837881,1.535152403,0.03651348
20,1.00E-07,1,0,3.036468439,0,0.236038907,9.441556275,0.160841417
20,1.00E-07,2,0,1.908643795,0.016367203,0.219000847,8.760033864,0.178172965
20,1.00E-07,3,0,0.205156489,0,0.027332568,1.093302723,0.02585725
20,1.00E-07,4,0,0.048489531,0,0.006208777,0.24835108,0.006145133
20,1.00E-07,5,0,0.199413777,0,0.027538556,1.101542235,0.026197188
20,1.00E-07,6,0,1.727061678,5.54E-06,0.149207309,5.968292354,0.111674793
20,1.00E-07,7,0,5.032214621,0.00071146,0.25733125,10.29325001,0.154143729
