Epoch,Train Loss,Train Acc,Test Acc,Method
1,0.69245684,0.52948153,0.52957672,Train
2,0.68974829,0.54910183,0.54987252,Train
3,0.68694836,0.57602721,0.57776642,Train
4,0.68328673,0.59297031,0.59413564,Train
5,0.67859995,0.60236615,0.60158080,Train
6,0.67286259,0.60992616,0.60856706,Train
7,0.66604775,0.61753720,0.61606324,Train
8,0.65830612,0.62544143,0.62095869,Train
9,0.65029454,0.63097441,0.62794495,Train
10,0.64294916,0.63556397,0.63426822,Train
11,0.63721710,0.63988578,0.63850075,Train
12,0.63379049,0.63668585,0.63768488,Train
13,0.63605815,0.63444203,0.63268739,Train
14,0.64241153,0.64538050,0.64400816,Train
15,0.62954205,0.63912082,0.64120346,Train
16,0.63632357,0.65042901,0.64895463,Train
17,0.62583882,0.64567369,0.64339620,Train
18,0.62796122,0.64813423,0.64650691,Train
19,0.62540066,0.65763205,0.65650177,Train
20,0.62070513,0.65559226,0.65685874,Train
21,0.62365037,0.66112518,0.66114229,Train
22,0.61997437,0.65881771,0.65583885,Train
23,0.61821043,0.65440661,0.65410507,Train
24,0.61966449,0.66055149,0.65925550,Train
25,0.61653882,0.66719359,0.66501784,Train
26,0.61512828,0.66747409,0.66700661,Train
27,0.61574697,0.66943741,0.66746557,Train
28,0.61263317,0.66607171,0.66466087,Train
29,0.61167675,0.66479683,0.66430390,Train
30,0.61134917,0.67122221,0.66838348,Train
31,0.60854197,0.67377198,0.67169809,Train
32,0.60849655,0.67428195,0.67424786,Train
33,0.60703743,0.67345327,0.67032129,Train
34,0.60529542,0.67196167,0.66863847,Train
35,0.60519332,0.67639822,0.67353392,Train
36,0.60286999,0.67902446,0.67705250,Train
37,0.60260522,0.68010813,0.67603266,Train
38,0.60071260,0.67805558,0.67511475,Train
39,0.59965456,0.67950892,0.67649156,Train
40,0.59837908,0.68380523,0.67853135,Train
41,0.59681445,0.68522036,0.68046916,Train
42,0.59585840,0.68464667,0.68077511,Train
43,0.59407163,0.68408573,0.67888832,Train
44,0.59317034,0.68785936,0.68235594,Train
45,0.59134603,0.68901950,0.68332481,Train
46,0.59034055,0.68859881,0.68118304,Train
47,0.58859223,0.68891752,0.68067312,Train
48,0.58735836,0.69299710,0.68567055,Train
49,0.58591485,0.69409353,0.68720043,Train
50,0.58426487,0.69242340,0.68414074,Train
51,0.58322322,0.69535565,0.68837327,Train
52,0.58140850,0.69693649,0.69010711,Train
53,0.58009571,0.69628626,0.68765938,Train
54,0.57898587,0.69905275,0.69199389,Train
55,0.57731187,0.69925672,0.69209588,Train
56,0.57573688,0.69906551,0.69184089,Train
57,0.57461870,0.70245671,0.69490057,Train
58,0.57360858,0.69986868,0.69204485,Train
59,0.57243693,0.70450926,0.69561446,Train
60,0.57100409,0.70238018,0.69316673,Train
61,0.56945997,0.70575863,0.69668537,Train
62,0.56794471,0.70584786,0.69566548,Train
63,0.56654680,0.70718646,0.69663435,Train
64,0.56522602,0.70829564,0.69801122,Train
65,0.56394082,0.70857608,0.69836819,Train
66,0.56271815,0.71057767,0.70035696,Train
67,0.56187660,0.70549089,0.69592047,Train
68,0.56337112,0.70570761,0.69036204,Train
69,0.57260430,0.69349432,0.68414074,Train
70,0.57610941,0.71367562,0.70265168,Train
71,0.55788058,0.70898408,0.69408464,Train
72,0.56756526,0.70680404,0.69673634,Train
73,0.56123018,0.70838487,0.69801122,Train
74,0.55970258,0.71260470,0.69882715,Train
75,0.56131786,0.71618712,0.70163184,Train
76,0.55602688,0.70795143,0.69775623,Train
77,0.55974919,0.71478474,0.70178479,Train
78,0.55395573,0.71500146,0.70040798,Train
79,0.55782402,0.71795917,0.70387560,Train
80,0.55225646,0.71108758,0.70035696,Train
81,0.55583102,0.71808666,0.70387560,Train
82,0.55070281,0.71774244,0.70239675,Train
83,0.55395782,0.71924680,0.70474249,Train
84,0.54926109,0.71414727,0.70173383,Train
85,0.55200821,0.72039419,0.70494646,Train
86,0.54808474,0.72091687,0.70453852,Train
87,0.54981887,0.71925956,0.70377356,Train
88,0.54733318,0.71897906,0.70428354,Train
89,0.54726398,0.72270173,0.70479345,Train
90,0.54686016,0.72225553,0.70668024,Train
91,0.54480624,0.71955276,0.70469147,Train
92,0.54594725,0.72319889,0.70713919,Train
93,0.54336339,0.72387463,0.70545638,Train
94,0.54378414,0.72192407,0.70494646,Train
95,0.54303610,0.72410411,0.70729220,Train
96,0.54128158,0.72551918,0.70550740,Train
