Epoch,Train Loss,Train Acc,Test Acc,Method
1,0.67620605,0.89951253,0.89950001,Train
2,0.64445555,0.89951253,0.89950001,Train
3,0.61397368,0.89951253,0.89950001,Train
4,0.57504040,0.89951253,0.89950001,Train
5,0.52682561,0.89951253,0.89950001,Train
6,0.47103506,0.89951253,0.89950001,Train
7,0.41246915,0.89951253,0.89950001,Train
8,0.36006024,0.89951253,0.89950001,Train
9,0.32591715,0.89951253,0.89950001,Train
10,0.31862676,0.89951253,0.89950001,Train
11,0.33165342,0.89951253,0.89950001,Train
12,0.34506571,0.89951253,0.89950001,Train
13,0.34783801,0.89951253,0.89950001,Train
14,0.34020171,0.89951253,0.89950001,Train
15,0.32578239,0.89951253,0.89950001,Train
16,0.30922842,0.89951253,0.89950001,Train
17,0.29430079,0.89951253,0.89950001,Train
18,0.28337902,0.89951253,0.89950001,Train
19,0.27720279,0.89951253,0.89950001,Train
20,0.27508104,0.89951253,0.89950001,Train
21,0.27546358,0.89951253,0.89950001,Train
22,0.27649152,0.89951253,0.89950001,Train
23,0.27680612,0.89951253,0.89950001,Train
24,0.27578995,0.89951253,0.89950001,Train
25,0.27338639,0.89951253,0.89950001,Train
26,0.26994944,0.89951253,0.89950001,Train
27,0.26604772,0.89951253,0.89950001,Train
28,0.26227751,0.89951253,0.89950001,Train
29,0.25911728,0.89951253,0.89950001,Train
30,0.25683814,0.89951253,0.89950001,Train
31,0.25547764,0.89951253,0.89950001,Train
32,0.25487268,0.89951253,0.89950001,Train
33,0.25473532,0.89951253,0.89950001,Train
34,0.25474477,0.89951253,0.89950001,Train
35,0.25463256,0.89951253,0.89950001,Train
36,0.25423664,0.89951253,0.89950001,Train
37,0.25351539,0.89951253,0.89950001,Train
38,0.25252816,0.89951253,0.89950001,Train
39,0.25139737,0.89951253,0.89950001,Train
40,0.25026554,0.89951253,0.89950001,Train
41,0.24925706,0.89951253,0.89950001,Train
42,0.24845293,0.89951253,0.89950001,Train
43,0.24788037,0.89951253,0.89950001,Train
44,0.24751611,0.89951253,0.89950001,Train
45,0.24730092,0.89951253,0.89950001,Train
46,0.24715933,0.89951253,0.89950001,Train
47,0.24701902,0.89951253,0.89950001,Train
48,0.24682668,0.89951253,0.89950001,Train
49,0.24655546,0.89951253,0.89950001,Train
50,0.24620633,0.89951253,0.89950001,Train
51,0.24580169,0.89951253,0.89950001,Train
52,0.24537648,0.89951253,0.89950001,Train
53,0.24496740,0.89951253,0.89950001,Train
54,0.24460383,0.89951253,0.89950001,Train
55,0.24430209,0.89951253,0.89950001,Train
56,0.24406362,0.89951253,0.89950001,Train
57,0.24387656,0.89951253,0.89950001,Train
58,0.24372080,0.89951253,0.89950001,Train
59,0.24357380,0.89951253,0.89950001,Train
60,0.24341635,0.89951253,0.89950001,Train
61,0.24323623,0.89951253,0.89950001,Train
62,0.24303007,0.89951253,0.89950001,Train
63,0.24280259,0.89951253,0.89950001,Train
64,0.24256381,0.89951253,0.89950001,Train
65,0.24232571,0.89951253,0.89950001,Train
66,0.24209858,0.89951253,0.89950001,Train
67,0.24188863,0.89951253,0.89950001,Train
68,0.24169663,0.89951253,0.89950001,Train
69,0.24151777,0.89951253,0.89950001,Train
70,0.24134421,0.89951253,0.89950001,Train
71,0.24118443,0.89951253,0.89950001,Train
72,0.24101880,0.89951253,0.89950001,Train
73,0.24083827,0.89951253,0.89950001,Train
74,0.24064544,0.89951253,0.89950001,Train
75,0.24045573,0.89951253,0.89950001,Train
76,0.24026337,0.89951253,0.89950001,Train
77,0.24006829,0.89951253,0.89950001,Train
78,0.23987347,0.89951253,0.89950001,Train
79,0.23968422,0.89951253,0.89950001,Train
80,0.23950414,0.89951253,0.89950001,Train
81,0.23932405,0.89951253,0.89950001,Train
82,0.23914251,0.89951253,0.89950001,Train
83,0.23895772,0.89951253,0.89950001,Train
84,0.23876736,0.89951253,0.89950001,Train
85,0.23857063,0.89951253,0.89950001,Train
86,0.23836863,0.89951253,0.89950001,Train
87,0.23816308,0.89951253,0.89950001,Train
88,0.23795566,0.89951253,0.89950001,Train
89,0.23774615,0.89951253,0.89950001,Train
90,0.23753291,0.89951253,0.89950001,Train
91,0.23731524,0.89951253,0.89950001,Train
92,0.23709467,0.89951253,0.89950001,Train
93,0.23686923,0.89951253,0.89950001,Train
94,0.23663662,0.89951253,0.89950001,Train
95,0.23639780,0.89951253,0.89950001,Train
96,0.23615523,0.89951253,0.89950001,Train
97,0.23590983,0.89951253,0.89950001,Train
98,0.23566003,0.89951253,0.89950001,Train
99,0.23539256,0.89951253,0.89950001,Train
100,0.23511001,0.89951253,0.89950001,Train
101,0.23484343,0.89951253,0.89950001,Train
102,0.23458533,0.89951253,0.89950001,Train
103,0.23432422,0.89951253,0.89950001,Train
104,0.23406130,0.89951253,0.89950001,Train
105,0.23379134,0.89951253,0.89950001,Train
106,0.23351313,0.89951253,0.89950001,Train
107,0.23323157,0.89951253,0.89950001,Train
108,0.23294820,0.89951253,0.89950001,Train
109,0.23266414,0.89951253,0.89950001,Train
110,0.23238999,0.89951253,0.89950001,Train
111,0.23211206,0.89951253,0.89950001,Train
112,0.23182540,0.89951253,0.89950001,Train
113,0.23153113,0.89951253,0.89950001,Train
114,0.23123132,0.89952499,0.89950001,Train
115,0.23092981,0.90018123,0.90022498,Train
116,0.23062807,0.90416253,0.90375000,Train
117,0.23031862,0.90815628,0.90635002,Train
118,0.22999340,0.91002500,0.90770000,Train
119,0.22965670,0.91119999,0.90834999,Train
120,0.22931065,0.91224372,0.90864998,Train
121,0.22895361,0.91295624,0.90897501,Train
122,0.22858235,0.91355628,0.90902501,Train
123,0.22820340,0.91390628,0.90907502,Train
124,0.22780925,0.91451877,0.90939999,Train
125,0.22739638,0.91495001,0.90942502,Train
126,0.22695960,0.91535628,0.90974998,Train
127,0.22649948,0.91553748,0.90982503,Train
128,0.22601765,0.91586250,0.90992498,Train
129,0.22550957,0.91626251,0.91035002,Train
130,0.22496866,0.91663122,0.91057497,Train
131,0.22439410,0.91701251,0.91037500,Train
132,0.22379558,0.91728127,0.91055000,Train
133,0.22315268,0.91755003,0.91072500,Train
134,0.22246279,0.91774374,0.91082501,Train
135,0.22173567,0.91804373,0.91065001,Train
136,0.22096123,0.91846877,0.91052502,Train
137,0.22014570,0.91863751,0.91025001,Train
138,0.21928889,0.91880625,0.91037500,Train
139,0.21838516,0.91898751,0.91042501,Train
140,0.21743476,0.91911876,0.91039997,Train
141,0.21644077,0.91941249,0.91022497,Train
142,0.21540886,0.91963124,0.90995002,Train
143,0.21429978,0.91980624,0.90997499,Train
144,0.21311644,0.92024374,0.90974998,Train
145,0.21185057,0.92061877,0.90930003,Train
146,0.21045782,0.92130625,0.90917498,Train
147,0.20908086,0.92115623,0.90965003,Train
148,0.20818096,0.92247498,0.90782499,Train
149,0.20774516,0.92164373,0.90944999,Train
150,0.20644817,0.92272502,0.90824997,Train
151,0.20339167,0.92460001,0.90517497,Train
152,0.20690569,0.92251873,0.90890002,Train
153,0.20541084,0.92297500,0.90887499,Train
154,0.20494585,0.92653751,0.90525001,Train
155,0.19791567,0.92707503,0.90289998,Train
156,0.20223874,0.92500001,0.90785003,Train
157,0.19894324,0.92444372,0.90857500,Train
158,0.20149913,0.92802501,0.90667498,Train
159,0.19216682,0.92979378,0.89945000,Train
160,0.20092574,0.92947501,0.90612501,Train
161,0.18948142,0.92716873,0.90792501,Train
162,0.19435269,0.92891252,0.90745002,Train
163,0.18992236,0.93299377,0.90235001,Train
164,0.18634151,0.93394375,0.89955002,Train
165,0.18882632,0.93243122,0.90542501,Train
166,0.18256941,0.93041247,0.90722501,Train
167,0.18515025,0.93413752,0.90455002,Train
168,0.17871340,0.93815625,0.89719999,Train
169,0.18166772,0.93706250,0.90277499,Train
170,0.17409503,0.93499374,0.90492499,Train
171,0.17562383,0.93857503,0.90177500,Train
172,0.17011532,0.94153750,0.89415002,Train
173,0.17326973,0.93835622,0.90347499,Train
174,0.16838671,0.93847501,0.90352499,Train
175,0.16710576,0.94422501,0.89432502,Train
176,0.16506711,0.94405627,0.89812499,Train
177,0.15988447,0.94156247,0.90157503,Train
178,0.16024020,0.94600624,0.89644998,Train
179,0.15574004,0.94778752,0.89305001,Train
180,0.15528329,0.94368124,0.90037501,Train
181,0.15424687,0.94816875,0.89660001,Train
182,0.14892708,0.95054376,0.88830000,Train
183,0.15117927,0.94386876,0.90112501,Train
184,0.15193139,0.95023125,0.89620000,Train
185,0.14280057,0.94998747,0.87879997,Train
186,0.15330726,0.94215626,0.90187502,Train
187,0.15528129,0.94660002,0.90034997,Train
188,0.14652121,0.94921249,0.87417501,Train
189,0.15294050,0.95349997,0.89455003,Train
190,0.13447201,0.94807500,0.89962500,Train
191,0.14140777,0.95747501,0.89017498,Train
192,0.12935251,0.95768124,0.87692499,Train
193,0.13928138,0.94908124,0.89872497,Train
194,0.13623156,0.95076251,0.89824998,Train
195,0.13444573,0.96041876,0.88099998,Train
196,0.12867169,0.96190000,0.88087499,Train
197,0.12554160,0.95451248,0.89647502,Train
198,0.12644100,0.95636874,0.89497501,Train
199,0.12288576,0.96463752,0.87825000,Train
200,0.12319134,0.96521252,0.88720000,Train
201,0.11394575,0.95976877,0.89352500,Train
202,0.11724106,0.96573126,0.88787502,Train
203,0.11147995,0.96832502,0.87842500,Train
204,0.11340669,0.96528751,0.89037502,Train
205,0.10847812,0.96487498,0.89050001,Train
206,0.10780235,0.97149998,0.87827498,Train
207,0.10670260,0.97098750,0.88564998,Train
208,0.10135771,0.96893126,0.88932502,Train
209,0.10164762,0.97363126,0.88167500,Train
210,0.09880664,0.97512501,0.88190001,Train
211,0.09589530,0.97153127,0.88752502,Train
212,0.09527136,0.97677499,0.88134998,Train
213,0.09249139,0.97780627,0.88107502,Train
214,0.08983050,0.97564375,0.88552499,Train
215,0.08862868,0.97926247,0.87975001,Train
216,0.08637142,0.97996873,0.88147497,Train
217,0.08352028,0.97956252,0.88337499,Train
218,0.08187824,0.98290002,0.87772501,Train
219,0.08042058,0.97960001,0.88492501,Train
220,0.07880603,0.98435622,0.87527502,Train
221,0.07707591,0.98111248,0.88517499,Train
222,0.07504618,0.98673123,0.87547499,Train
223,0.07228325,0.98431247,0.88309997,Train
224,0.07001784,0.98852497,0.87552500,Train
225,0.06795482,0.98553127,0.88302499,Train
226,0.06643508,0.98974377,0.87252498,Train
227,0.06541891,0.98209375,0.88657498,Train
228,0.06697225,0.98788750,0.86462498,Train
229,0.06857392,0.96923125,0.89412498,Train
230,0.08161512,0.98811251,0.86545002,Train
231,0.06561401,0.99073124,0.88080001,Train
232,0.05551689,0.98958749,0.88302499,Train
233,0.05598066,0.99096251,0.86224997,Train
234,0.06149343,0.97383124,0.89319998,Train
235,0.07343088,0.99031878,0.87177497,Train
236,0.05552900,0.99094373,0.86507499,Train
237,0.05694220,0.97498125,0.89267498,Train
238,0.06890436,0.99404377,0.87059999,Train
239,0.04937050,0.99306250,0.86212498,Train
240,0.05306960,0.97978753,0.89162499,Train
241,0.06464020,0.99231875,0.87807500,Train
242,0.04691609,0.98592502,0.85355002,Train
243,0.06381923,0.97676247,0.89300001,Train
244,0.06666157,0.99068749,0.88372499,Train
245,0.04749009,0.97393751,0.83850002,Train
246,0.08338732,0.96491247,0.89754999,Train
247,0.09680676,0.97578752,0.89357501,Train
248,0.08549809,0.96169376,0.85705000,Train
249,0.09359193,0.98854375,0.86962497,Train
250,0.05210330,0.98668748,0.88747501,Train
251,0.05214162,0.98293126,0.88062501,Train
252,0.05709391,0.97635627,0.84810001,Train
253,0.08057892,0.97961253,0.89190000,Train
254,0.06309814,0.98253125,0.88875002,Train
255,0.06736731,0.97211874,0.86650002,Train
256,0.07996497,0.97457498,0.86659998,Train
257,0.07544446,0.98658127,0.88475001,Train
1,0.05747491,0.54483747,0.49935001,RAF_C1
2,1.68340707,0.99023747,0.86532497,RAF_C1
3,0.04800418,0.95003748,0.90114999,RAF_C1
4,0.16417478,0.92759377,0.90530002,RAF_C1
5,0.28415951,0.92178124,0.90607500,RAF_C1
6,0.34205252,0.92055625,0.90647501,RAF_C1
7,0.37111410,0.92142498,0.90682501,RAF_C1
8,0.38252810,0.92358124,0.90717500,RAF_C1
9,0.38202724,0.92654377,0.90767503,RAF_C1
10,0.37312573,0.93036872,0.90807498,RAF_C1
11,0.35873055,0.93389374,0.90799999,RAF_C1
12,0.34148508,0.93668127,0.90762502,RAF_C1
13,0.32365692,0.93867499,0.90737498,RAF_C1
14,0.30707949,0.93980622,0.90684998,RAF_C1
15,0.29306459,0.93952501,0.90592498,RAF_C1
16,0.28236747,0.93887502,0.90460002,RAF_C1
17,0.27502301,0.93784374,0.90359998,RAF_C1
18,0.27018121,0.93660623,0.90205002,RAF_C1
1,0.05747491,0.54483747,0.49935001,RAF_A1
2,1.68340707,0.99023747,0.86532497,RAF_A1
3,0.04800418,0.95003748,0.90114999,RAF_A1
4,0.16417478,0.92759377,0.90530002,RAF_A1
5,0.28415951,0.92178124,0.90607500,RAF_A1
6,0.34205252,0.92055625,0.90647501,RAF_A1
7,0.37111410,0.92142498,0.90682501,RAF_A1
8,0.38252810,0.92358124,0.90717500,RAF_A1
9,0.38202724,0.92654377,0.90767503,RAF_A1
10,0.37312573,0.93036872,0.90807498,RAF_A1
11,0.35873055,0.93389374,0.90799999,RAF_A1
12,0.34148508,0.93668127,0.90762502,RAF_A1
13,0.32365692,0.93867499,0.90737498,RAF_A1
14,0.30707949,0.93980622,0.90684998,RAF_A1
15,0.29306459,0.93952501,0.90592498,RAF_A1
16,0.28236747,0.93887502,0.90460002,RAF_A1
17,0.27502301,0.93784374,0.90359998,RAF_A1
18,0.27018121,0.93660623,0.90205002,RAF_A1
1,0.08009037,0.91765624,0.90460002,RAF_A10
2,0.21278068,0.92803127,0.90402502,RAF_A10
3,0.18217905,0.96860623,0.88792503,RAF_A10
4,0.10607617,0.89181250,0.80425000,RAF_A10
5,0.29984269,0.97955000,0.87744999,RAF_A10
6,0.08675811,0.96240628,0.89924997,RAF_A10
7,0.11691812,0.94459373,0.90412498,RAF_A10
8,0.15186025,0.93965626,0.90490001,RAF_A10
9,0.16586870,0.94155002,0.90467501,RAF_A10
10,0.16522785,0.94691253,0.90335000,RAF_A10
11,0.15664601,0.95095003,0.89964998,RAF_A10
12,0.14879495,0.95064378,0.89407498,RAF_A10
13,0.15081447,0.94788748,0.88882500,RAF_A10
14,0.16088249,0.94653749,0.88634998,RAF_A10
15,0.16397850,0.94994372,0.88807499,RAF_A10
16,0.15479054,0.95461249,0.89225000,RAF_A10
1,0.05758241,0.54520625,0.49992499,RAB0
2,1.68006253,0.99013752,0.86519998,RAB0
3,0.04819758,0.95020002,0.90130001,RAB0
4,0.16384581,0.92756873,0.90530002,RAB0
5,0.28470099,0.92171252,0.90607500,RAB0
6,0.34289750,0.92046249,0.90647501,RAB0
7,0.37205833,0.92131877,0.90684998,RAB0
8,0.38347557,0.92349374,0.90710002,RAB0
9,0.38292348,0.92648125,0.90764999,RAB0
