Epoch,Train Loss,Train Acc,Test Acc,Method
1,0.73996329,0.31425568,0.31947362,Train
2,0.71256316,0.56207144,0.56651556,Train
3,0.68712449,0.77148306,0.77076191,Train
4,0.66341734,0.86012495,0.85856462,Train
5,0.64118397,0.88086152,0.88101292,Train
6,0.62019008,0.88301814,0.88300341,Train
7,0.60024607,0.88301814,0.88300341,Train
8,0.58121204,0.88301814,0.88300341,Train
9,0.56300867,0.88301814,0.88300341,Train
10,0.54559791,0.88301814,0.88300341,Train
11,0.52897495,0.88301814,0.88300341,Train
12,0.51315266,0.88301814,0.88300341,Train
13,0.49815720,0.88301814,0.88300341,Train
14,0.48401707,0.88301814,0.88300341,Train
15,0.47076085,0.88301814,0.88300341,Train
16,0.45841482,0.88301814,0.88300341,Train
17,0.44699097,0.88301814,0.88300341,Train
18,0.43648645,0.88301814,0.88300341,Train
19,0.42688692,0.88301814,0.88300341,Train
20,0.41816682,0.88301814,0.88300341,Train
21,0.41028443,0.88301814,0.88300341,Train
22,0.40318528,0.88301814,0.88300341,Train
23,0.39680338,0.88301814,0.88300341,Train
24,0.39106485,0.88301814,0.88300341,Train
25,0.38589054,0.88301814,0.88300341,Train
26,0.38119802,0.88301814,0.88300341,Train
27,0.37690690,0.88301814,0.88300341,Train
28,0.37293863,0.88301814,0.88300341,Train
29,0.36922017,0.88301814,0.88300341,Train
30,0.36568651,0.88301814,0.88300341,Train
31,0.36228141,0.88301814,0.88300341,Train
32,0.35895908,0.88301814,0.88300341,Train
33,0.35568348,0.88301814,0.88300341,Train
34,0.35242927,0.88301814,0.88300341,Train
35,0.34918070,0.88301814,0.88300341,Train
36,0.34592929,0.88301814,0.88300341,Train
37,0.34267569,0.88301814,0.88300341,Train
38,0.33942702,0.88301814,0.88300341,Train
39,0.33619353,0.88301814,0.88300341,Train
40,0.33299085,0.88301814,0.88300341,Train
41,0.32983547,0.88301814,0.88300341,Train
42,0.32674316,0.88301814,0.88300341,Train
43,0.32373020,0.88301814,0.88300341,Train
44,0.32080975,0.88301814,0.88300341,Train
45,0.31799436,0.88301814,0.88300341,Train
46,0.31529042,0.88301814,0.88300341,Train
47,0.31270170,0.88301814,0.88300341,Train
48,0.31022936,0.88301814,0.88300341,Train
49,0.30787238,0.88301814,0.88300341,Train
50,0.30562621,0.88301814,0.88300341,Train
51,0.30348328,0.88301814,0.88300341,Train
52,0.30143672,0.88301814,0.88300341,Train
53,0.29947737,0.88301814,0.88300341,Train
54,0.29759544,0.88301814,0.88300341,Train
55,0.29577965,0.88301814,0.88311404,Train
56,0.29402098,0.88304579,0.88311404,Train
57,0.29231128,0.88312876,0.88311404,Train
58,0.29064327,0.88318402,0.88322461,Train
59,0.28900921,0.88346052,0.88355637,Train
60,0.28740460,0.88359874,0.88344574,Train
61,0.28582621,0.88368171,0.88377750,Train
62,0.28427508,0.88393056,0.88421983,Train
63,0.28274998,0.88426232,0.88455158,Train
64,0.28125075,0.88434529,0.88510448,Train
65,0.27977854,0.88440055,0.88477278,Train
66,0.27833465,0.88484293,0.88421983,Train
67,0.27691886,0.88525766,0.88399869,Train
68,0.27552950,0.88558948,0.88433039,Train
69,0.27416626,0.88575536,0.88421983,Train
70,0.27283016,0.88617009,0.88410926,Train
71,0.27152187,0.88664013,0.88444102,Train
72,0.27024677,0.88697189,0.88488334,Train
73,0.26900950,0.88735896,0.88576800,Train
74,0.26780787,0.88788432,0.88621032,Train
75,0.26664326,0.88865846,0.88709497,Train
76,0.26551929,0.88937736,0.88742673,Train
77,0.26443636,0.88940501,0.88786906,Train
78,0.26339492,0.89001328,0.88831139,Train
79,0.26239336,0.88998562,0.88842201,Train
80,0.26142889,0.89031738,0.88831139,Train
81,0.26050091,0.89070451,0.88853258,Train
82,0.25960690,0.89109159,0.88809025,Train
83,0.25874552,0.89134043,0.88919604,Train
84,0.25791711,0.89153397,0.88919604,Train
85,0.25712070,0.89161688,0.88952780,Train
86,0.25635648,0.89183807,0.89096540,Train
87,0.25562280,0.89192104,0.89218181,Train
88,0.25491989,0.89186573,0.89207119,Train
89,0.25424731,0.89186573,0.89196062,Train
90,0.25360537,0.89216989,0.89262414,Train
91,0.25299278,0.89225280,0.89262414,Train
92,0.25240931,0.89208692,0.89317703,Train
93,0.25185370,0.89239109,0.89284527,Train
94,0.25132522,0.89208692,0.89284527,Train
95,0.25082317,0.89222515,0.89240295,Train
96,0.25034624,0.89247400,0.89251357,Train
97,0.24989359,0.89258462,0.89196062,Train
98,0.24946436,0.89288872,0.89207119,Train
99,0.24905695,0.89280581,0.89207119,Train
100,0.24867086,0.89291638,0.89207119,Train
101,0.24830452,0.89310992,0.89229238,Train
102,0.24795637,0.89344174,0.89229238,Train
103,0.24762531,0.89363527,0.89207119,Train
104,0.24731000,0.89385647,0.89196062,Train
105,0.24700867,0.89402235,0.89173949,Train
106,0.24671979,0.89405000,0.89173949,Train
107,0.24644236,0.89418823,0.89185005,Train
108,0.24617538,0.89424354,0.89185005,Train
109,0.24591798,0.89410532,0.89196062,Train
110,0.24566914,0.89396703,0.89185005,Train
111,0.24542786,0.89427119,0.89207119,Train
112,0.24519344,0.89416057,0.89251357,Train
113,0.24496523,0.89413291,0.89262414,Train
114,0.24474229,0.89424354,0.89284527,Train
115,0.24452370,0.89446473,0.89295590,Train
116,0.24430932,0.89463061,0.89317703,Train
117,0.24409880,0.89474124,0.89306647,Train
118,0.24389195,0.89490712,0.89306647,Train
119,0.24368826,0.89512831,0.89295590,Train
120,0.24348745,0.89515597,0.89295590,Train
121,0.24328953,0.89534950,0.89284527,Train
122,0.24309462,0.89543241,0.89262414,Train
123,0.24290229,0.89565361,0.89273471,Train
124,0.24271299,0.89573658,0.89284527,Train
125,0.24252647,0.89587480,0.89306647,Train
126,0.24234273,0.89598542,0.89306647,Train
127,0.24216133,0.89606833,0.89295590,Train
128,0.24198233,0.89623421,0.89306647,Train
129,0.24180560,0.89623421,0.89306647,Train
130,0.24163109,0.89640015,0.89339823,Train
131,0.24145897,0.89653838,0.89328760,Train
132,0.24128918,0.89648306,0.89339823,Train
133,0.24112186,0.89656603,0.89339823,Train
134,0.24095625,0.89664894,0.89317703,Train
135,0.24079239,0.89670426,0.89295590,Train
136,0.24063055,0.89681488,0.89295590,Train
137,0.24047026,0.89689779,0.89306647,Train
138,0.24031179,0.89698076,0.89295590,Train
139,0.24015553,0.89711899,0.89295590,Train
140,0.24000138,0.89720196,0.89306647,Train
141,0.23984911,0.89722961,0.89317703,Train
142,0.23969835,0.89720196,0.89317703,Train
143,0.23954926,0.89720196,0.89317703,Train
144,0.23940167,0.89736784,0.89339823,Train
145,0.23925582,0.89747846,0.89361936,Train
146,0.23911171,0.89745080,0.89361936,Train
147,0.23896942,0.89745080,0.89395112,Train
148,0.23882845,0.89745080,0.89395112,Train
149,0.23868883,0.89753371,0.89428288,Train
150,0.23855077,0.89767200,0.89428288,Train
151,0.23841403,0.89778256,0.89439344,Train
152,0.23827872,0.89792079,0.89450401,Train
153,0.23814468,0.89792079,0.89461464,Train
154,0.23801200,0.89778256,0.89461464,Train
155,0.23788048,0.89781022,0.89472520,Train
156,0.23774996,0.89778256,0.89472520,Train
157,0.23762065,0.89789319,0.89472520,Train
158,0.23749234,0.89792079,0.89505696,Train
159,0.23736522,0.89789319,0.89516753,Train
160,0.23723958,0.89786553,0.89494640,Train
161,0.23711506,0.89794844,0.89505696,Train
162,0.23699148,0.89794844,0.89505696,Train
163,0.23686901,0.89803141,0.89483577,Train
164,0.23674741,0.89797610,0.89505696,Train
165,0.23662697,0.89805907,0.89494640,Train
166,0.23650759,0.89816964,0.89505696,Train
167,0.23638928,0.89828026,0.89516753,Train
168,0.23627220,0.89825261,0.89527810,Train
169,0.23615627,0.89822495,0.89505696,Train
170,0.23604138,0.89836317,0.89505696,Train
171,0.23592752,0.89841849,0.89516753,Train
172,0.23581463,0.89847380,0.89538872,Train
173,0.23570271,0.89850146,0.89572042,Train
174,0.23559152,0.89844614,0.89549929,Train
175,0.23548105,0.89844614,0.89560986,Train
176,0.23537132,0.89844614,0.89549929,Train
177,0.23526245,0.89839083,0.89560986,Train
178,0.23515421,0.89833552,0.89549929,Train
179,0.23504683,0.89836317,0.89560986,Train
180,0.23494020,0.89855671,0.89572042,Train
181,0.23483449,0.89852911,0.89549929,Train
182,0.23472968,0.89858437,0.89527810,Train
183,0.23462570,0.89875031,0.89516753,Train
184,0.23452234,0.89883322,0.89527810,Train
185,0.23441952,0.89886087,0.89583105,Train
186,0.23431721,0.89888853,0.89560986,Train
187,0.23421562,0.89902675,0.89572042,Train
188,0.23411477,0.89910972,0.89572042,Train
189,0.23401438,0.89922029,0.89560986,Train
190,0.23391458,0.89927560,0.89583105,Train
191,0.23381539,0.89938623,0.89583105,Train
192,0.23371716,0.89938623,0.89583105,Train
193,0.23361953,0.89933091,0.89583105,Train
194,0.23352230,0.89946914,0.89583105,Train
195,0.23342571,0.89935857,0.89594162,Train
196,0.23332953,0.89933091,0.89560986,Train
197,0.23323397,0.89930326,0.89560986,Train
198,0.23313877,0.89941382,0.89538872,Train
199,0.23304380,0.89946914,0.89527810,Train
200,0.23294942,0.89955211,0.89549929,Train
201,0.23285566,0.89952445,0.89549929,Train
202,0.23276246,0.89969033,0.89560986,Train
203,0.23266971,0.89955211,0.89572042,Train
204,0.23257734,0.89969033,0.89572042,Train
205,0.23248546,0.89974564,0.89583105,Train
206,0.23239404,0.89974564,0.89583105,Train
207,0.23230296,0.89991152,0.89605218,Train
208,0.23221208,0.90010506,0.89605218,Train
209,0.23212180,0.90010506,0.89627337,Train
210,0.23203190,0.90007740,0.89638394,Train
211,0.23194256,0.90010506,0.89671570,Train
212,0.23185359,0.90021569,0.89682627,Train
213,0.23176517,0.90035391,0.89671570,Train
214,0.23167722,0.90040922,0.89671570,Train
215,0.23158987,0.90049213,0.89671570,Train
216,0.23150304,0.90046448,0.89682627,Train
217,0.23141669,0.90046448,0.89704746,Train
218,0.23133063,0.90043688,0.89704746,Train
219,0.23124516,0.90046448,0.89715803,Train
220,0.23116013,0.90046448,0.89715803,Train
221,0.23107535,0.90051979,0.89715803,Train
222,0.23099068,0.90051979,0.89726859,Train
223,0.23090626,0.90065801,0.89715803,Train
224,0.23082222,0.90076864,0.89715803,Train
225,0.23073862,0.90068567,0.89704746,Train
226,0.23065549,0.90074098,0.89704746,Train
227,0.23057270,0.90090686,0.89715803,Train
228,0.23048997,0.90104514,0.89737916,Train
229,0.23040737,0.90107280,0.89760035,Train
230,0.23032486,0.90104514,0.89771092,Train
231,0.23024264,0.90096217,0.89782155,Train
232,0.23016094,0.90093452,0.89771092,Train
233,0.23007983,0.90093452,0.89760035,Train
234,0.22999902,0.90090686,0.89737916,Train
235,0.22991869,0.90093452,0.89748979,Train
236,0.22983882,0.90093452,0.89760035,Train
237,0.22975928,0.90087920,0.89793211,Train
238,0.22968023,0.90093452,0.89804268,Train
239,0.22960140,0.90098983,0.89815325,Train
240,0.22952308,0.90098983,0.89815325,Train
241,0.22944494,0.90093452,0.89848500,Train
242,0.22936699,0.90096217,0.89826387,Train
243,0.22928914,0.90090686,0.89837444,Train
244,0.22921163,0.90104514,0.89848500,Train
245,0.22913449,0.90110040,0.89848500,Train
246,0.22905777,0.90096217,0.89848500,Train
247,0.22898144,0.90101749,0.89848500,Train
248,0.22890535,0.90101749,0.89837444,Train
249,0.22882970,0.90104514,0.89826387,Train
250,0.22875451,0.90110040,0.89815325,Train
251,0.22867960,0.90115571,0.89815325,Train
252,0.22860524,0.90121102,0.89815325,Train
253,0.22853121,0.90123868,0.89815325,Train
254,0.22845753,0.90118337,0.89815325,Train
255,0.22838424,0.90112805,0.89804268,Train
256,0.22831133,0.90101749,0.89793211,Train
257,0.22823863,0.90112805,0.89793211,Train
258,0.22816613,0.90110040,0.89793211,Train
259,0.22809395,0.90115571,0.89815325,Train
260,0.22802216,0.90121102,0.89837444,Train
261,0.22795077,0.90121102,0.89826387,Train
262,0.22788000,0.90118337,0.89837444,Train
263,0.22780970,0.90121102,0.89826387,Train
264,0.22773974,0.90115571,0.89837444,Train
265,0.22767007,0.90123868,0.89837444,Train
266,0.22760075,0.90121102,0.89826387,Train
267,0.22753158,0.90112805,0.89826387,Train
268,0.22746246,0.90112805,0.89870620,Train
269,0.22739345,0.90096217,0.89870620,Train
270,0.22732455,0.90104514,0.89881676,Train
271,0.22725575,0.90121102,0.89892733,Train
272,0.22718711,0.90115571,0.89914852,Train
273,0.22711879,0.90115571,0.89892733,Train
274,0.22705057,0.90121102,0.89892733,Train
275,0.22698258,0.90132159,0.89903796,Train
276,0.22691467,0.90143222,0.89903796,Train
277,0.22684711,0.90134925,0.89892733,Train
278,0.22677974,0.90134925,0.89914852,Train
279,0.22671276,0.90148753,0.89925909,Train
280,0.22664596,0.90157044,0.89936966,Train
281,0.22657923,0.90162575,0.89936966,Train
282,0.22651263,0.90184695,0.89948028,Train
283,0.22644624,0.90173632,0.89936966,Train
284,0.22637989,0.90181929,0.89914852,Train
