Epoch,Train Loss,Train Acc,Test Acc,Method
1,0.69075197,0.53984624,0.53768486,Train
2,0.68860245,0.54993051,0.54625189,Train
3,0.68652076,0.56162113,0.55747068,Train
4,0.68448609,0.57071102,0.56664968,Train
5,0.68247646,0.57973713,0.57440084,Train
6,0.68047327,0.58630276,0.57985723,Train
7,0.67846459,0.59151697,0.58449769,Train
8,0.67644006,0.59503561,0.58791435,Train
9,0.67438942,0.59806985,0.59184092,Train
10,0.67231178,0.60134625,0.59464556,Train
11,0.67020828,0.60402352,0.59913307,Train
12,0.66808093,0.60578287,0.59984702,Train
13,0.66593844,0.60750389,0.60219276,Train
14,0.66378981,0.60926324,0.60377359,Train
15,0.66164047,0.61149430,0.60453850,Train
16,0.65950644,0.61367434,0.60744518,Train
17,0.65740263,0.61498743,0.60815912,Train
18,0.65534425,0.61650455,0.60882205,Train
19,0.65334177,0.61846787,0.61030084,Train
20,0.65140605,0.61997223,0.61147374,Train
21,0.64954364,0.62137455,0.61356449,Train
22,0.64775586,0.62312114,0.61540031,Train
23,0.64604467,0.62461275,0.61677718,Train
24,0.64440995,0.62602788,0.61769503,Train
25,0.64284837,0.62727726,0.61953086,Train
26,0.64135754,0.62896007,0.62085670,Train
27,0.63993597,0.62997997,0.62100971,Train
28,0.63857752,0.63219827,0.62274349,Train
29,0.63727623,0.63361341,0.62478328,Train
30,0.63602501,0.63523245,0.62621111,Train
31,0.63481826,0.63681334,0.62779194,Train
32,0.63364738,0.63847065,0.63039267,Train
33,0.63250643,0.63972002,0.63207549,Train
34,0.63139129,0.64094394,0.63309538,Train
35,0.63029593,0.64237177,0.63467616,Train
36,0.62922126,0.64396536,0.63646096,Train
37,0.62816644,0.64605618,0.63880676,Train
38,0.62713164,0.64742029,0.63962263,Train
39,0.62611812,0.64819795,0.64212137,Train
40,0.62512809,0.64957482,0.64329422,Train
41,0.62416369,0.65093893,0.64416116,Train
42,0.62322330,0.65236682,0.64477307,Train
43,0.62230730,0.65324646,0.64609891,Train
44,0.62141478,0.65458506,0.64716983,Train
45,0.62054652,0.65549028,0.64793473,Train
46,0.61970276,0.65663767,0.64880162,Train
47,0.61888009,0.65789980,0.65017849,Train
48,0.61807799,0.65863919,0.65160632,Train
49,0.61729348,0.65936589,0.65247321,Train
50,0.61652106,0.66056424,0.65298319,Train
51,0.61575902,0.66159689,0.65359509,Train
52,0.61500490,0.66242558,0.65410507,Train
53,0.61425787,0.66322875,0.65390110,Train
54,0.61351681,0.66409564,0.65430903,Train
55,0.61278135,0.66510284,0.65451300,Train
56,0.61205441,0.66577852,0.65456402,Train
57,0.61133415,0.66688764,0.65558386,Train
58,0.61062127,0.66765255,0.65696073,Train
59,0.60991734,0.66859597,0.65772563,Train
