Epoch,Train Loss,Train Acc,Test Acc,Method
1,nan,0.00000000,0.00000000,Train
2,nan,0.00000000,0.00000000,Train
3,nan,0.00000000,0.00000000,Train
4,nan,0.00000000,0.00000000,Train
5,nan,0.00000000,0.00000000,Train
6,nan,0.00000000,0.00000000,Train
7,nan,0.00000000,0.00000000,Train
8,nan,0.00000000,0.00000000,Train
9,nan,0.00000000,0.00000000,Train
10,nan,0.00000000,0.00000000,Train
11,nan,0.00000000,0.00000000,Train
12,nan,0.00000000,0.00000000,Train
13,nan,0.00000000,0.00000000,Train
14,nan,0.00000000,0.00000000,Train
15,nan,0.00000000,0.00000000,Train
