Epoch,Train Loss,Train Acc,Test Acc,Method
1,0.66271025,0.89469373,0.89497501,Train
2,0.63942361,0.89941251,0.89942503,Train
3,0.61725622,0.89951253,0.89950001,Train
4,0.59597027,0.89951253,0.89950001,Train
5,0.57531738,0.89951253,0.89950001,Train
6,0.55509406,0.89951253,0.89950001,Train
7,0.53513557,0.89951253,0.89950001,Train
8,0.51533949,0.89951253,0.89950001,Train
9,0.49567521,0.89951253,0.89950001,Train
10,0.47617045,0.89951253,0.89950001,Train
11,0.45691141,0.89951253,0.89950001,Train
12,0.43802914,0.89951253,0.89950001,Train
13,0.41968393,0.89951253,0.89950001,Train
14,0.40205434,0.89951253,0.89950001,Train
15,0.38532171,0.89951253,0.89950001,Train
16,0.36965811,0.89951253,0.89950001,Train
17,0.35521424,0.89951253,0.89950001,Train
18,0.34210676,0.89951253,0.89950001,Train
19,0.33041033,0.89951253,0.89950001,Train
20,0.32014757,0.89951253,0.89950001,Train
21,0.31129009,0.89951253,0.89950001,Train
22,0.30376089,0.89951253,0.89950001,Train
23,0.29744074,0.89951253,0.89950001,Train
24,0.29217899,0.89951253,0.89950001,Train
25,0.28780639,0.89951253,0.89950001,Train
26,0.28414908,0.89951253,0.89950001,Train
27,0.28103954,0.89951253,0.89950001,Train
28,0.27832863,0.89951253,0.89950001,Train
29,0.27588990,0.89951253,0.89950001,Train
30,0.27362737,0.89951253,0.89950001,Train
31,0.27147141,0.89951253,0.89950001,Train
32,0.26937720,0.89951253,0.89950001,Train
33,0.26732400,0.89951253,0.89950001,Train
34,0.26530752,0.89951253,0.89950001,Train
35,0.26333508,0.89951253,0.89950001,Train
36,0.26142552,0.89951253,0.89950001,Train
37,0.25959626,0.89951253,0.89950001,Train
38,0.25786632,0.89951253,0.89950001,Train
39,0.25625131,0.89951253,0.89950001,Train
40,0.25476304,0.89951253,0.89950001,Train
41,0.25341105,0.89951253,0.89950001,Train
42,0.25219625,0.89951253,0.89950001,Train
43,0.25111818,0.89951253,0.89950001,Train
44,0.25017244,0.89951253,0.89950001,Train
45,0.24934956,0.89951253,0.89950001,Train
46,0.24863842,0.89951253,0.89950001,Train
47,0.24802622,0.89951253,0.89950001,Train
48,0.24749868,0.89951253,0.89950001,Train
49,0.24704129,0.89951253,0.89950001,Train
50,0.24663959,0.89951253,0.89950001,Train
51,0.24628155,0.89951253,0.89950001,Train
52,0.24595657,0.89951253,0.89950001,Train
53,0.24565457,0.89951253,0.89950001,Train
54,0.24536771,0.89951253,0.89950001,Train
55,0.24508923,0.89951253,0.89950001,Train
56,0.24481434,0.89951253,0.89950001,Train
57,0.24453938,0.89951253,0.89950001,Train
58,0.24426238,0.89951253,0.89950001,Train
59,0.24398276,0.89951253,0.89950001,Train
60,0.24370061,0.89951253,0.89950001,Train
61,0.24341682,0.89951253,0.89950001,Train
62,0.24313237,0.89951253,0.89950001,Train
63,0.24284886,0.89951253,0.89950001,Train
64,0.24256782,0.89951253,0.89950001,Train
65,0.24229111,0.89951253,0.89950001,Train
66,0.24202023,0.89951253,0.89950001,Train
67,0.24175617,0.89951253,0.89950001,Train
68,0.24149951,0.89951253,0.89950001,Train
69,0.24125049,0.89951253,0.89950001,Train
70,0.24100906,0.89951253,0.89950001,Train
71,0.24077509,0.89951253,0.89950001,Train
72,0.24054803,0.89951253,0.89950001,Train
73,0.24032678,0.89951253,0.89950001,Train
74,0.24011031,0.89951253,0.89950001,Train
75,0.23989753,0.89951253,0.89950001,Train
76,0.23968728,0.89951253,0.89950001,Train
77,0.23947854,0.89951253,0.89950001,Train
78,0.23927027,0.89951873,0.89950001,Train
79,0.23906171,0.89955628,0.89950001,Train
80,0.23885228,0.89957500,0.89950001,Train
81,0.23864165,0.89963126,0.89957500,Train
82,0.23842964,0.89972502,0.89972502,Train
83,0.23821613,0.89993125,0.89982498,Train
84,0.23800142,0.90020627,0.89999998,Train
85,0.23778532,0.90044999,0.90002501,Train
86,0.23756814,0.90076250,0.90037501,Train
87,0.23735042,0.90121877,0.90079999,Train
88,0.23713228,0.90170002,0.90122497,Train
89,0.23691392,0.90222502,0.90187502,Train
90,0.23669545,0.90286875,0.90214998,Train
91,0.23647708,0.90348750,0.90267497,Train
92,0.23625872,0.90409374,0.90332502,Train
93,0.23604013,0.90469998,0.90390003,Train
94,0.23582129,0.90538126,0.90427500,Train
95,0.23560205,0.90588123,0.90527499,Train
96,0.23538232,0.90646875,0.90582502,Train
97,0.23516196,0.90695626,0.90619999,Train
98,0.23494048,0.90741873,0.90675002,Train
99,0.23471799,0.90793127,0.90692502,Train
100,0.23449424,0.90832502,0.90727502,Train
101,0.23426890,0.90888751,0.90772498,Train
102,0.23404221,0.90937501,0.90817499,Train
103,0.23381418,0.90976876,0.90840000,Train
104,0.23358460,0.91016251,0.90885001,Train
105,0.23335369,0.91033751,0.90910000,Train
106,0.23312163,0.91058123,0.90942502,Train
107,0.23288859,0.91086251,0.90955001,Train
108,0.23265432,0.91125625,0.90977502,Train
109,0.23241889,0.91156250,0.90979999,Train
110,0.23218213,0.91183752,0.90969998,Train
111,0.23194449,0.91217500,0.90997499,Train
112,0.23170601,0.91261876,0.91025001,Train
113,0.23146655,0.91280627,0.91055000,Train
114,0.23122646,0.91318125,0.91079998,Train
115,0.23098560,0.91338748,0.91067499,Train
116,0.23074441,0.91356248,0.91087502,Train
117,0.23050287,0.91364378,0.91100001,Train
118,0.23026106,0.91388124,0.91105002,Train
119,0.23001924,0.91403127,0.91127503,Train
120,0.22977774,0.91418749,0.91125000,Train
121,0.22953667,0.91437501,0.91147500,Train
122,0.22929601,0.91451877,0.91175002,Train
123,0.22905657,0.91468751,0.91187501,Train
124,0.22881827,0.91482502,0.91197503,Train
125,0.22858121,0.91491252,0.91212499,Train
126,0.22834533,0.91515625,0.91217500,Train
127,0.22811124,0.91520625,0.91232502,Train
128,0.22787896,0.91536248,0.91235000,Train
129,0.22764841,0.91548753,0.91229999,Train
130,0.22741973,0.91553128,0.91240001,Train
131,0.22719315,0.91553128,0.91232502,Train
132,0.22696880,0.91565001,0.91224998,Train
133,0.22674698,0.91573751,0.91222501,Train
134,0.22652797,0.91581875,0.91235000,Train
135,0.22631170,0.91584373,0.91235000,Train
136,0.22609831,0.91579998,0.91237497,Train
137,0.22588760,0.91586250,0.91235000,Train
138,0.22567968,0.91592503,0.91250002,Train
139,0.22547442,0.91591877,0.91252500,Train
140,0.22527166,0.91592503,0.91250002,Train
141,0.22507158,0.91602498,0.91250002,Train
142,0.22487432,0.91606247,0.91242498,Train
143,0.22467977,0.91608751,0.91250002,Train
144,0.22448787,0.91609377,0.91237497,Train
145,0.22429866,0.91610622,0.91232502,Train
146,0.22411211,0.91614377,0.91217500,Train
147,0.22392808,0.91622502,0.91219997,Train
148,0.22374640,0.91625625,0.91224998,Train
149,0.22356723,0.91629374,0.91232502,Train
150,0.22339040,0.91635627,0.91212499,Train
151,0.22321597,0.91633749,0.91210002,Train
152,0.22304395,0.91635627,0.91205001,Train
153,0.22287442,0.91638124,0.91205001,Train
154,0.22270685,0.91640002,0.91205001,Train
155,0.22254148,0.91641873,0.91215003,Train
156,0.22237808,0.91640627,0.91207498,Train
157,0.22221676,0.91641873,0.91189998,Train
158,0.22205733,0.91649377,0.91194999,Train
159,0.22189936,0.91653752,0.91189998,Train
160,0.22174326,0.91655624,0.91192502,Train
161,0.22158886,0.91663748,0.91187501,Train
162,0.22143643,0.91665000,0.91177499,Train
163,0.22128575,0.91671252,0.91170001,Train
164,0.22113661,0.91678751,0.91180003,Train
165,0.22098896,0.91684377,0.91167498,Train
166,0.22084248,0.91688126,0.91159999,Train
167,0.22069722,0.91694999,0.91159999,Train
168,0.22055322,0.91693747,0.91157502,Train
169,0.22041011,0.91699374,0.91165000,Train
170,0.22026812,0.91700625,0.91167498,Train
171,0.22012722,0.91706252,0.91159999,Train
172,0.21998715,0.91712499,0.91154999,Train
173,0.21984795,0.91714376,0.91165000,Train
174,0.21970932,0.91718751,0.91172498,Train
175,0.21957141,0.91721249,0.91167498,Train
176,0.21943435,0.91723752,0.91175002,Train
177,0.21929783,0.91731250,0.91167498,Train
178,0.21916153,0.91736877,0.91165000,Train
179,0.21902554,0.91736877,0.91170001,Train
180,0.21888989,0.91740626,0.91177499,Train
181,0.21875452,0.91747499,0.91175002,Train
182,0.21861933,0.91751873,0.91175002,Train
183,0.21848430,0.91754377,0.91167498,Train
184,0.21834925,0.91761875,0.91167498,Train
185,0.21821418,0.91767502,0.91159999,Train
186,0.21807912,0.91774374,0.91157502,Train
187,0.21794388,0.91776878,0.91157502,Train
188,0.21780840,0.91775626,0.91149998,Train
189,0.21767256,0.91784376,0.91152501,Train
190,0.21753652,0.91790003,0.91154999,Train
191,0.21740010,0.91796249,0.91147500,Train
192,0.21726331,0.91798753,0.91147500,Train
193,0.21712619,0.91803128,0.91145003,Train
