Epoch,Train Loss,Train Acc,Test Acc,Method
1,0.69702190,0.75208002,0.75201768,Train
2,0.68645895,0.75216299,0.75212824,Train
3,0.67633396,0.75216299,0.75212824,Train
4,0.66589952,0.75216299,0.75212824,Train
5,0.65452462,0.75216299,0.75212824,Train
6,0.64200735,0.75216299,0.75212824,Train
7,0.62826949,0.75216299,0.75212824,Train
8,0.61315697,0.75216299,0.75212824,Train
9,0.59665632,0.75216299,0.75212824,Train
10,0.57907867,0.75216299,0.75212824,Train
11,0.56108344,0.75216299,0.75212824,Train
12,0.54360861,0.75216299,0.75212824,Train
13,0.52771091,0.75216299,0.75212824,Train
14,0.51420736,0.75216299,0.75212824,Train
15,0.50298536,0.75216299,0.75212824,Train
16,0.49276090,0.75216299,0.75212824,Train
17,0.48200616,0.75368327,0.75312328,Train
18,0.46990097,0.76219696,0.75997788,Train
19,0.45693958,0.77303261,0.77070206,Train
20,0.44454026,0.78906488,0.78419018,Train
21,0.43413141,0.80263704,0.80110556,Train
22,0.42639118,0.81184179,0.80995023,Train
23,0.42082161,0.81662381,0.81238252,Train
24,0.41629627,0.81850344,0.81580985,Train
25,0.41204795,0.81784004,0.81503594,Train
26,0.40813479,0.81795061,0.81525707,Train
27,0.40515497,0.81811649,0.81448317,Train
28,0.40347460,0.81764656,0.81580985,Train
29,0.40272832,0.81728721,0.81580985,Train
30,0.40202180,0.81681734,0.81680489,Train
31,0.40068534,0.81634742,0.81691545,Train
32,0.39874089,0.81576693,0.81647319,Train
33,0.39666098,0.81560105,0.81691545,Train
34,0.39476398,0.81521410,0.81691545,Train
35,0.39286634,0.81560105,0.81614149,Train
36,0.39052930,0.81725961,0.81735766,Train
37,0.38764191,0.82005143,0.81824213,Train
38,0.38460311,0.82124001,0.82045329,Train
39,0.38184926,0.82256681,0.82388061,Train
40,0.37942982,0.82411474,0.82598120,Train
41,0.37707025,0.82519281,0.82719737,Train
42,0.37459883,0.82571799,0.82775015,Train
43,0.37217903,0.82588387,0.82863462,Train
1,0.67254227,0.75216299,0.75212824,Train
2,0.66451371,0.75216299,0.75212824,Train
3,0.65690905,0.75216299,0.75212824,Train
4,0.64897293,0.75216299,0.75212824,Train
5,0.64033329,0.75216299,0.75212824,Train
6,0.63067919,0.75216299,0.75212824,Train
7,0.61980981,0.75216299,0.75212824,Train
8,0.60759449,0.75216299,0.75212824,Train
9,0.59385097,0.75216299,0.75212824,Train
10,0.57877785,0.75216299,0.75212824,Train
11,0.56296170,0.75216299,0.75212824,Train
12,0.54710662,0.75216299,0.75212824,Train
13,0.53207552,0.75216299,0.75212824,Train
14,0.51880747,0.75216299,0.75212824,Train
15,0.50780386,0.75216299,0.75212824,Train
16,0.49840897,0.75296462,0.75290215,Train
17,0.48919252,0.75984740,0.75754559,Train
18,0.47895563,0.76924562,0.76605862,Train
19,0.46756274,0.77806342,0.77589828,Train
20,0.45610097,0.78906488,0.78916526,Train
21,0.44606540,0.80360448,0.80442232,Train
22,0.43828362,0.81388730,0.81238252,Train
23,0.43240410,0.81941563,0.82122719,Train
24,0.42723146,0.81922215,0.81990051,Train
25,0.42183855,0.81800592,0.81868434,Train
26,0.41636425,0.81833762,0.81879491,Train
27,0.41166386,0.81963676,0.82001108,Train
28,0.40829530,0.82005143,0.82177997,Train
29,0.40582094,0.82057661,0.82388061,Train
30,0.40323251,0.82041073,0.82443339,Train
31,0.40009543,0.81944329,0.82277501,Train
32,0.39690742,0.81847584,0.82244337,Train
33,0.39435366,0.81739777,0.82078499,Train
34,0.39229289,0.81842053,0.82122719,Train
35,0.38992354,0.82027256,0.82399118,Train
36,0.38708043,0.82182050,0.82653397,Train
37,0.38440862,0.82342374,0.82907683,Train
38,0.38220319,0.82439119,0.82974017,Train
39,0.38000810,0.82488877,0.83051407,Train
40,0.37748253,0.82505459,0.83073521,Train
41,0.37498164,0.82552451,0.83062464,Train
42,0.37288070,0.82588387,0.82985073,Train
43,0.37095958,0.82671309,0.83184081,Train
44,0.36887595,0.82773584,0.83184081,Train
45,0.36678290,0.82873094,0.83228302,Train
46,0.36495256,0.82884151,0.83239359,Train
47,0.36323756,0.82911795,0.83316749,Train
48,0.36136338,0.82944965,0.83305693,Train
49,0.35941175,0.83030653,0.83416253,Train
50,0.35758248,0.83096993,0.83548921,Train
51,0.35578766,0.83163333,0.83582091,Train
52,0.35387012,0.83254552,0.83582091,Train
53,0.35197049,0.83282197,0.83659482,Train
54,0.35026473,0.83348536,0.83770037,Train
55,0.34866330,0.83456337,0.83858484,Train
56,0.34710631,0.83566910,0.83957988,Train
57,0.34573680,0.83649832,0.84035379,Train
58,0.34452388,0.83724463,0.84057492,Train
59,0.34328637,0.83835036,0.84179103,Train
60,0.34209087,0.83920723,0.84256494,Train
61,0.34099135,0.83995354,0.84234381,Train
62,0.33987591,0.84006411,0.84322828,Train
63,0.33884630,0.84100395,0.84300721,Train
64,0.33798066,0.84166735,0.84344941,Train
65,0.33716056,0.84246898,0.84389168,Train
66,0.33643743,0.84271777,0.84300721,Train
67,0.33582509,0.84293890,0.84245437,Train
68,0.33522514,0.84371287,0.84256494,Train
69,0.33471254,0.84382343,0.84223330,Train
70,0.33424756,0.84404457,0.84190160,Train
71,0.33377793,0.84443152,0.84212273,Train
72,0.33335260,0.84437627,0.84134883,Train
73,0.33290482,0.84468031,0.84190160,Train
74,0.33247298,0.84526080,0.84156990,Train
75,0.33206886,0.84548193,0.84156990,Train
76,0.33167219,0.84509498,0.84156990,Train
77,0.33131549,0.84539902,0.84134883,Train
78,0.33094358,0.84553725,0.84123826,Train
79,0.33057660,0.84559250,0.84168047,Train
80,0.33021447,0.84528846,0.84179103,Train
81,0.32984900,0.84556484,0.84179103,Train
82,0.32950339,0.84542668,0.84234381,Train
83,0.32915214,0.84597951,0.84245437,Train
84,0.32881811,0.84611768,0.84322828,Train
85,0.32848242,0.84625590,0.84400219,Train
86,0.32815000,0.84639412,0.84433389,Train
87,0.32782730,0.84680873,0.84433389,Train
88,0.32751325,0.84705752,0.84455502,Train
89,0.32720426,0.84686404,0.84532893,Train
90,0.32689154,0.84725100,0.84543949,Train
91,0.32658195,0.84747213,0.84543949,Train
92,0.32627711,0.84752744,0.84555000,Train
93,0.32597575,0.84783149,0.84599227,Train
94,0.32567814,0.84777623,0.84555000,Train
95,0.32538453,0.84813553,0.84555000,Train
96,0.32509297,0.84832907,0.84566057,Train
97,0.32480374,0.84830141,0.84632391,Train
98,0.32451880,0.84857780,0.84621340,Train
99,0.32423219,0.84852254,0.84599227,Train
100,0.32394695,0.84893715,0.84610283,Train
101,0.32366252,0.84899247,0.84632391,Train
102,0.32338503,0.84899247,0.84643447,Train
103,0.32311127,0.84929651,0.84599227,Train
104,0.32284135,0.84935182,0.84577113,Train
105,0.32257584,0.84926885,0.84621340,Train
106,0.32231429,0.84921360,0.84621340,Train
107,0.32205361,0.84918594,0.84599227,Train
108,0.32179397,0.84935182,0.84588170,Train
109,0.32153708,0.84929651,0.84632391,Train
110,0.32128498,0.84940708,0.84621340,Train
111,0.32103303,0.84962821,0.84599227,Train
112,0.32078037,0.84984934,0.84588170,Train
113,0.32052693,0.85009813,0.84599227,Train
114,0.32027504,0.85012579,0.84599227,Train
115,0.32002267,0.85042983,0.84665561,Train
116,0.31976947,0.85026395,0.84665561,Train
117,0.31951627,0.85042983,0.84665561,Train
118,0.31926361,0.85054040,0.84665561,Train
119,0.31901130,0.85051274,0.84720838,Train
120,0.31875810,0.85051274,0.84654504,Train
121,0.31850687,0.85048509,0.84643447,Train
122,0.31825408,0.85065097,0.84654504,Train
123,0.31799915,0.85087210,0.84632391,Train
124,0.31774083,0.85101032,0.84709787,Train
125,0.31748310,0.85139728,0.84698731,Train
