Epoch,Train Loss,Train Acc,Test Acc,Method
1,0.69307297,0.53493798,0.53533912,Train
2,0.69172025,0.53373957,0.53391129,Train
3,0.69047368,0.53653157,0.53671598,Train
4,0.68916750,0.54234499,0.54201937,Train
5,0.68768847,0.55103964,0.54951555,Train
6,0.68593407,0.56228405,0.56002039,Train
7,0.68382901,0.57403845,0.57021928,Train
8,0.68135393,0.58446693,0.58148903,Train
9,0.67850149,0.59118551,0.58878124,Train
10,0.67525423,0.59536707,0.59490055,Train
11,0.67159939,0.60037738,0.59852117,Train
12,0.66757745,0.60329682,0.60290670,Train
13,0.66328943,0.60806489,0.60851604,Train
14,0.65884286,0.61273092,0.61438042,Train
15,0.65434355,0.61804712,0.61677718,Train
16,0.65000230,0.62150204,0.62187660,Train
17,0.64598584,0.62666529,0.62437534,Train
18,0.64248520,0.62972504,0.62544620,Train
19,0.63964206,0.63199431,0.62845486,Train
20,0.63749772,0.63502848,0.63202447,Train
21,0.63594961,0.63713205,0.63324833,Train
22,0.63470221,0.64099491,0.63584906,Train
23,0.63333791,0.64266503,0.63860273,Train
24,0.63158941,0.64525300,0.63906169,Train
25,0.62953144,0.64750952,0.64227432,Train
26,0.62740409,0.65082419,0.64477307,Train
27,0.62544125,0.65359068,0.64574194,Train
28,0.62376726,0.65574521,0.64859766,Train
29,0.62231028,0.65611494,0.65191227,Train
30,0.62092257,0.65761930,0.65400308,Train
31,0.61953604,0.65861368,0.65441102,Train
32,0.61812383,0.65996510,0.65543091,Train
33,0.61664677,0.66222161,0.65680778,Train
34,0.61510569,0.66287178,0.65792960,Train
35,0.61353874,0.66593146,0.65828657,Train
36,0.61205918,0.66575301,0.65976542,Train
37,0.61071622,0.66929716,0.66022438,Train
38,0.60958350,0.66712987,0.66195816,Train
39,0.60838699,0.67159194,0.66455889,Train
40,0.60698450,0.67225486,0.66537482,Train
41,0.60564357,0.67252260,0.66532379,Train
42,0.60457540,0.67525083,0.66700661,Train
43,0.60351950,0.67488110,0.66670066,Train
44,0.60214818,0.67736715,0.66797554,Train
45,0.60064298,0.67868024,0.66807753,Train
46,0.59941810,0.67860377,0.66925037,Train
47,0.59841353,0.68156147,0.67006630,Train
48,0.59727108,0.68061805,0.67021930,Train
49,0.59591776,0.68293834,0.67108619,Train
50,0.59465331,0.68421322,0.67276901,Train
51,0.59356898,0.68450642,0.67190212,Train
52,0.59248894,0.68701792,0.67557371,Train
53,0.59129375,0.68691593,0.67501277,Train
54,0.58999932,0.68845856,0.67623663,Train
55,0.58873987,0.68921071,0.67705250,Train
56,0.58756244,0.68998837,0.67939824,Train
57,0.58646715,0.69108480,0.68062216,Train
58,0.58551443,0.69009042,0.67929626,Train
59,0.58487654,0.69178599,0.67980623,Train
60,0.58469313,0.69046009,0.67995918,Train
61,0.58387852,0.69501144,0.68123406,Train
62,0.58167404,0.69541937,0.68245792,Train
63,0.58043683,0.69381303,0.68210095,Train
64,0.58057863,0.69604409,0.68414074,Train
65,0.57940364,0.69827509,0.68332481,Train
66,0.57771271,0.69687271,0.68342680,Train
67,0.57756144,0.69833887,0.68378377,Train
68,0.57690060,0.69975394,0.68454868,Train
69,0.57526600,0.69972843,0.68485469,Train
70,0.57475775,0.70071012,0.68510962,Train
71,0.57437742,0.70107985,0.68628252,Train
72,0.57297391,0.70169175,0.68674147,Train
73,0.57207882,0.70255870,0.68490565,Train
74,0.57177919,0.70258415,0.68740439,Train
75,0.57079232,0.70435625,0.68714941,Train
76,0.56959850,0.70433074,0.68735337,Train
77,0.56903923,0.70376980,0.68816930,Train
78,0.56850666,0.70592433,0.68852627,Train
79,0.56746566,0.70630682,0.68934220,Train
80,0.56640577,0.70620483,0.68954617,Train
81,0.56577021,0.70768368,0.68969911,Train
82,0.56522131,0.70735222,0.68954617,Train
83,0.56436855,0.70889479,0.69026005,Train
84,0.56333047,0.70878005,0.69127995,Train
85,0.56240392,0.70914978,0.69240183,Train
86,0.56168550,0.71059042,0.69036204,Train
87,0.56109321,0.70955777,0.69168794,Train
88,0.56053376,0.71241349,0.69056606,Train
89,0.55997956,0.71050113,0.69189191,Train
90,0.55930030,0.71336961,0.69250381,Train
91,0.55846614,0.71190351,0.69326872,Train
92,0.55740744,0.71396881,0.69382966,Train
93,0.55633396,0.71399432,0.69428861,Train
94,0.55541068,0.71458077,0.69490057,Train
95,0.55468142,0.71604687,0.69551247,Train
96,0.55411530,0.71454251,0.69433963,Train
97,0.55373240,0.71595764,0.69464558,Train
98,0.55367857,0.71470827,0.69326872,Train
99,0.55394638,0.71619987,0.69326872,Train
100,0.55395776,0.71603411,0.69433963,Train
101,0.55221367,0.71829063,0.69586945,Train
102,0.54994661,0.71874958,0.69612443,Train
103,0.54943573,0.71687555,0.69520652,Train
104,0.55003858,0.71968025,0.69541049,Train
105,0.54945797,0.71877509,0.69653237,Train
106,0.54758960,0.71933603,0.69688934,Train
107,0.54680461,0.72092962,0.69678736,Train
108,0.54714411,0.71975678,0.69586945,Train
109,0.54667646,0.72140133,0.69729728,Train
110,0.54523438,0.72206426,0.69694036,Train
111,0.54435378,0.72114635,0.69750130,Train
112,0.54439437,0.72310966,0.69653237,Train
113,0.54419982,0.72221726,0.69816422,Train
114,0.54316086,0.72382361,0.69760329,Train
115,0.54208010,0.72476703,0.69816422,Train
116,0.54164052,0.72361964,0.69785821,Train
117,0.54155993,0.72467780,0.69694036,Train
118,0.54124403,0.72477978,0.69831717,Train
119,0.54044217,0.72599089,0.69694036,Train
120,0.53948617,0.72606736,0.69816422,Train
121,0.53874284,0.72647536,0.69887811,Train
122,0.53831863,0.72729129,0.69750130,Train
123,0.53808838,0.72694707,0.69954103,Train
124,0.53791207,0.72735500,0.69852114,Train
125,0.53772211,0.72744423,0.70020396,Train
126,0.53738916,0.72785223,0.69836819,Train
127,0.53687233,0.72820920,0.70061195,Train
128,0.53605974,0.72864264,0.69933707,Train
129,0.53512734,0.72922909,0.70112187,Train
130,0.53425843,0.72963703,0.70045894,Train
131,0.53360909,0.72973901,0.70040798,Train
132,0.53318131,0.72996849,0.70214176,Train
133,0.53292829,0.73024899,0.69933707,Train
134,0.53286374,0.73007047,0.70132583,Train
135,0.53307408,0.72996849,0.69867414,Train
136,0.53375477,0.72885936,0.69892913,Train
137,0.53447586,0.73001951,0.69836819,Train
138,0.53435987,0.73101389,0.70112187,Train
139,0.53200018,0.73216128,0.70254970,Train
140,0.52965981,0.73260748,0.70117289,Train
141,0.52959675,0.73188084,0.70137686,Train
142,0.53073770,0.73249274,0.70015299,Train
143,0.53056180,0.73349994,0.70285571,Train
144,0.52863443,0.73390788,0.70377356,Train
145,0.52753347,0.73400986,0.70214176,Train
146,0.52807194,0.73365289,0.70183581,Train
147,0.52843708,0.73463458,0.70188677,Train
148,0.52747929,0.73481303,0.70413053,Train
149,0.52611208,0.73520827,0.70372260,Train
150,0.52577013,0.73561621,0.70188677,Train
151,0.52617395,0.73562896,0.70219278,Train
152,0.52614444,0.73574370,0.70183581,Train
153,0.52532291,0.73615164,0.70407957,Train
154,0.52428579,0.73649585,0.70387560,Train
155,0.52377462,0.73675084,0.70178479,Train
156,0.52380681,0.73664886,0.70275372,Train
157,0.52392799,0.73682731,0.70122385,Train
158,0.52379578,0.73720980,0.70285571,Train
159,0.52322972,0.73760504,0.70209080,Train
160,0.52246118,0.73817873,0.70356959,Train
161,0.52171928,0.73865044,0.70433450,Train
162,0.52119994,0.73848468,0.70423251,Train
163,0.52091312,0.73856115,0.70392656,Train
164,0.52079469,0.73849744,0.70214176,Train
165,0.52082062,0.73885441,0.70254970,Train
166,0.52100921,0.73811495,0.70142782,Train
167,0.52147841,0.73777074,0.70147884,Train
168,0.52208972,0.73752850,0.69984704,Train
169,0.52260613,0.73785996,0.70086688,Train
170,0.52190244,0.73909664,0.70198876,Train
171,0.52004987,0.74052447,0.70525241,Train
172,0.51809967,0.74079221,0.70504844,Train
173,0.51761365,0.74044800,0.70224375,Train
174,0.51837647,0.73949182,0.70239675,Train
175,0.51896685,0.74033326,0.70224375,Train
176,0.51845545,0.74118739,0.70402855,Train
177,0.51701403,0.74237305,0.70448750,Train
178,0.51595354,0.74202883,0.70356959,Train
179,0.51589334,0.74181211,0.70387560,Train
180,0.51637262,0.74173564,0.70214176,Train
181,0.51662606,0.74144238,0.70326364,Train
182,0.51615012,0.74248779,0.70305967,Train
183,0.51520205,0.74309975,0.70474249,Train
184,0.51426893,0.74378818,0.70438552,Train
185,0.51377314,0.74349493,0.70300865,Train
186,0.51372516,0.74338019,0.70453852,Train
187,0.51391649,0.74348217,0.70188677,Train
188,0.51417768,0.74287027,0.70305967,Train
189,0.51432574,0.74353319,0.70168281,Train
190,0.51431298,0.74324000,0.70305967,Train
191,0.51392710,0.74456584,0.70163184,Train
192,0.51322764,0.74451482,0.70311064,Train
193,0.51228511,0.74512678,0.70295769,Train
194,0.51142073,0.74548376,0.70397758,Train
195,0.51081723,0.74567497,0.70346761,Train
196,0.51051974,0.74585348,0.70260072,Train
197,0.51046067,0.74545825,0.70280468,Train
198,0.51058173,0.74539453,0.70168281,Train
199,0.51092339,0.74521601,0.70265168,Train
