Dataset,Run,Train Loss,Train Acc,Val Acc,Test Acc,Method
Adult,0,0.31261045,0.85313821,0.84466559,0.84389168,Train
Adult,0,0.31033552,0.85427642,,0.84444445,F_A1
Adult,0,0.30291814,0.86100811,0.85148335,0.84665561,RAF_A1
Adult,0,0.30523705,0.85720325,,0.84566057,F_A10
Adult,0,0.30299935,0.86032522,0.85111481,0.84632391,RAF_A10
Adult,0,0.30670488,0.85889429,,0.84610283,F_A20
Adult,0,0.30391321,0.85921949,0.85019350,0.84720838,RAF_A20
Adult,0,0.32507864,0.85934961,,0.84698731,F_A30
Adult,0,0.30457392,0.86087805,0.85056198,0.84621340,RAF_A30
Adult,1,0.31632316,0.85326827,0.85203612,0.84256494,Train
Adult,1,0.31412357,0.85320324,,0.84289664,F_A1
Adult,1,0.31633422,0.85255283,0.85553712,0.84234381,RAF_A1
Adult,1,0.31343105,0.85352844,,0.84090656,F_A10
Adult,1,0.30577496,0.85817885,0.85277319,0.84201217,RAF_A10
Adult,1,0.31561452,0.85398376,,0.84002209,F_A20
Adult,1,0.31507576,0.85336584,0.85351020,0.84168047,RAF_A20
Adult,1,0.32350773,0.84972358,,0.84090656,F_A30
Adult,1,0.31165347,0.85512197,0.85535288,0.84212273,RAF_A30
Adult,2,0.30754590,0.85544717,0.84374422,0.84643447,Train
Adult,2,0.30831486,0.85567480,,0.84665561,F_A1
Adult,2,0.30932400,0.85583740,0.84319144,0.84765065,RAF_A1
Adult,2,0.30767787,0.85622764,,0.84698731,F_A10
Adult,2,0.30946687,0.85450405,0.84337574,0.84610283,RAF_A10
Adult,2,0.30826148,0.85547966,,0.84687674,F_C1
Adult,2,0.31166175,0.85430896,0.84392852,0.84731895,RAF_C1
Adult,2,0.46117714,0.83382112,,0.82321727,F_C10
Adult,2,0.30680808,0.85635775,0.84263867,0.84510779,RAF_C10
Adult,2,0.45602342,0.83808130,,0.82830292,F_C20
Adult,2,0.30681384,0.85642278,0.84282291,0.84555000,RAF_C20
Adult,2,0.46201995,0.83193499,,0.82244337,F_C30
Adult,2,0.30689654,0.85635775,0.84282291,0.84543949,RAF_C30
Adult,2,0.30814627,0.85583740,,0.84378111,F_A20
Adult,2,0.30510500,0.85824388,0.84227014,0.84510779,RAF_A20
Adult,2,0.32616407,0.85469919,,0.83969045,F_A30
Adult,2,0.30894017,0.85534960,0.84503406,0.84698731,RAF_A30
higgs,0,0.51151854,0.74719900,0.70678228,0.69704235,Train
higgs,0,0.51127380,0.74718404,,0.69694036,F_A1
higgs,0,0.58363038,0.69795871,0.68961412,0.67664456,RAF_A1
higgs,0,0.51354909,0.74541420,,0.69515556,F_A10
higgs,0,0.51321757,0.75061870,0.70839709,0.70290667,RAF_A10
higgs,0,0.51127380,0.74718404,,0.69694036,F_C1
higgs,0,0.58363038,0.69795871,0.68961412,0.67664456,RAF_C1
higgs,0,0.52051824,0.74001467,,0.69291180,F_A20
higgs,0,0.51296747,0.75058872,0.70873702,0.70244771,RAF_A20
higgs,0,0.53022063,0.73136050,,0.68918920,F_A30
higgs,0,0.51161909,0.75138360,0.70627230,0.70214176,RAF_A30
higgs,1,0.51498276,0.74301440,0.68238991,0.68118304,Train
higgs,1,0.51829815,0.74380934,,0.68169302,F_A1
higgs,1,0.59566659,0.69146430,0.67474079,0.67032129,RAF_A1
higgs,1,0.51418877,0.74685407,,0.68322283,F_A10
higgs,1,0.57039565,0.71636194,0.69063401,0.68618053,RAF_A10
higgs,1,0.51829815,0.74380934,,0.68169302,F_C1
higgs,1,0.59566659,0.69146430,0.67474079,0.67032129,RAF_C1
higgs,1,0.50721866,0.75196856,,0.68531364,F_A20
higgs,1,0.57167512,0.71369219,0.68884921,0.68210095,RAF_A20
higgs,1,0.50100756,0.75535822,,0.68913817,F_A30
higgs,1,0.57227635,0.71540201,0.68927419,0.68521160,RAF_A30
higgs,2,0.52414435,0.75925785,0.69624341,0.69495153,Train
higgs,2,0.49914262,0.75940788,,0.69505352,F_A1
higgs,2,0.56053376,0.72327632,0.69734830,0.69326872,RAF_A1
higgs,2,0.49634233,0.76132768,,0.69556350,F_A10
higgs,2,0.56432617,0.72297633,0.69615841,0.69260579,RAF_A10
higgs,2,0.49359572,0.76360744,,0.69739926,F_A20
higgs,2,0.49567643,0.76078773,0.70040798,0.69780725,RAF_A20
higgs,2,0.49178243,0.76440239,,0.70035696,F_A30
higgs,2,0.57786739,0.71742684,0.69071901,0.68480366,RAF_A30
GiveMeSomeCredit,0,0.24654774,0.93051040,0.93050647,0.93053132,Train
GiveMeSomeCredit,0,0.67687273,0.93180650,,0.93169534,F_A1
