Dataset,Run,Train Loss,Train Acc,Test Acc,Method
Adult,0,0.18582208,0.91599637,0.81260365,Train
Adult,0,0.19126596,0.91560936,0.81304586,F_C1
Adult,0,0.25063664,0.85991096,0.81934768,RAF_C1
Adult,0,0.19001113,0.91594106,0.81260365,F_A1
Adult,0,0.24769944,0.86156952,0.81956881,RAF_A1
Adult,0,0.19637172,0.91071677,0.80818129,F_A10
Adult,0,0.24882083,0.85781020,0.82067442,RAF_A10
Adult,0,0.18994585,0.91599637,0.81260365,B0
Adult,0,0.24720174,0.86159712,0.81990051,RAB0
Adult,1,0.24427360,0.88362771,0.81647319,Train
Adult,1,0.25200865,0.88337892,0.81536758,F_A1
Adult,1,0.27517334,0.88221800,0.83670539,RAF_A1
Adult,1,0.25418326,0.88185865,0.81426203,F_A10
Adult,1,0.28039858,0.88207978,0.83659482,RAF_A10
Adult,1,0.25130624,0.88362771,0.81647319,B0
Adult,1,0.27388862,0.88227326,0.83703703,RAB0
Adult,2,0.22256641,0.89507145,0.82476509,Train
Adult,2,0.22659098,0.89554137,0.82476509,F_C1
Adult,2,0.54652804,0.83307076,0.80552793,RAF_C1
Adult,2,0.22659098,0.89554137,0.82476509,F_A1
Adult,2,0.54652804,0.83307076,0.80552793,RAF_A1
Adult,2,0.22314288,0.89772505,0.82410169,F_A10
Adult,2,0.57157195,0.82798463,0.80110556,RAF_A10
Adult,2,0.22761819,0.89507145,0.82476509,B0
Adult,2,0.54017484,0.83420408,0.80641240,RAB0
Adult,3,0.28702220,0.86801004,0.84212273,Train
Adult,3,0.28601944,0.86798245,0.84223330,F_C1
Adult,3,0.30184293,0.86549467,0.84610283,RAF_C1
Adult,3,0.28601944,0.86798245,0.84223330,F_A1
Adult,3,0.30184293,0.86549467,0.84610283,RAF_A1
Adult,3,0.28810820,0.86704260,0.83957988,F_A10
Adult,3,0.29996327,0.86582637,0.84488666,RAF_A10
Adult,3,0.28598070,0.86801004,0.84223330,B0
Adult,3,0.30192462,0.86535645,0.84599227,RAB0
Adult,4,0.23598036,0.89302593,0.82664454,Train
Adult,4,0.23509069,0.89316416,0.82675511,F_C1
Adult,4,0.31922746,0.87387013,0.82962960,RAF_C1
Adult,4,0.23509069,0.89316416,0.82675511,F_A1
Adult,4,0.31922746,0.87387013,0.82962960,RAF_A1
Adult,4,0.23611364,0.89233494,0.82631290,F_A10
Adult,4,0.30164337,0.87895626,0.83305693,RAF_A10
Adult,4,0.23500822,0.89302593,0.82664454,B0
Adult,4,0.32121506,0.87304085,0.82929796,RAB0
higgs,0,0.41335744,0.80862838,0.68577254,Train
higgs,0,0.41232425,0.80843711,0.68541563,F_C1
higgs,0,0.61145914,0.72198778,0.66277409,RAF_C1
higgs,0,0.41232425,0.80843711,0.68541563,F_A1
higgs,0,0.61145914,0.72198778,0.66277409,RAF_A1
higgs,0,0.41261184,0.80834788,0.68470168,F_A10
