Dataset,Row,Col,Val_Size,Type,Tr_Acc,Val_Acc,Tr_loss,Val_loss
cleve.csv,303,13,0.2,TrainA,0.8347107438016529,0.8524590163934426,0.37347814440727234,0.3774901032447815
cleve.csv,303,13,0.2,TrainB,0.8388429752066116,0.8360655737704918,0.3667031228542328,0.37628695368766785
cleve.csv,303,13,0.2,TrainD,0.8347107438016529,0.8360655737704918,0.35922715067863464,0.3750360906124115
fri_c2_100_10.csv,100,10,0.2,TrainA,0.8375,0.75,0.474179208278656,0.4881560802459717
fri_c2_100_10.csv,100,10,0.2,TrainB,0.8375,0.75,0.46128106117248535,0.4794946610927582
fri_c2_100_10.csv,100,10,0.2,TrainD,0.825,0.8,0.4654999375343323,0.47927650809288025
AP_Breast_Kidney.csv,604,10935,0.2,TrainA,0.9855072463768116,0.9834710743801653,0.03001430071890354,0.06309393048286438
AP_Breast_Kidney.csv,604,10935,0.2,TrainB,0.9917184265010351,0.9917355371900827,0.021528789773583412,0.05045035108923912
fri_c3_100_5.csv,100,5,0.2,TrainA,0.6,0.6,0.6326864361763,0.6844088435173035
fri_c3_100_5.csv,100,5,0.2,TrainB,0.625,0.6,0.6207461357116699,0.6857250928878784
fri_c3_100_5.csv,100,5,0.2,TrainD,0.675,0.6,0.6136351823806763,0.6852214336395264
tecator.csv,240,124,0.2,TrainA,0.9947916666666666,0.9375,0.09114384651184082,0.19392502307891846
tecator.csv,240,124,0.2,TrainB,0.9947916666666666,0.9375,0.07334506511688232,0.19938762485980988
tecator.csv,240,124,0.2,TrainD,0.9895833333333334,0.9375,0.0747530609369278,0.1996336579322815
fri_c3_1000_50.csv,1000,50,0.2,TrainA,0.77375,0.655,0.5281772017478943,0.6109004020690918
fri_c3_1000_50.csv,1000,50,0.2,TrainB,0.7825,0.675,0.5135875940322876,0.6067920923233032
fri_c3_1000_50.csv,1000,50,0.2,TrainD,0.78125,0.645,0.5190847516059875,0.6117151379585266
fri_c2_500_50.csv,500,50,0.2,TrainA,0.8575,0.69,0.4141217768192291,0.6053662300109863
fri_c2_500_50.csv,500,50,0.2,TrainB,0.8625,0.69,0.3889971971511841,0.6171585321426392
fri_c2_500_50.csv,500,50,0.2,TrainD,0.8675,0.7,0.37811553478240967,0.6112256646156311
autoUniv-au1-1000.csv,1000,20,0.2,TrainA,0.7475,0.715,0.5029455423355103,0.5650604963302612
autoUniv-au1-1000.csv,1000,20,0.2,TrainB,0.7475,0.715,0.4989182949066162,0.5637060403823853
acute-inflammations.csv,120,6,0.2,TrainA,1.0,1.0,0.05658694729208946,0.061731208115816116
acute-inflammations.csv,120,6,0.2,TrainB,1.0,1.0,0.052172642201185226,0.056915607303380966
qsar-biodeg.csv,1055,41,0.2,TrainA,0.9028436018957346,0.8672985781990521,0.2749631404876709,0.3256686329841614
qsar-biodeg.csv,1055,41,0.2,TrainB,0.9040284360189573,0.8672985781990521,0.26712411642074585,0.32303738594055176
qsar-biodeg.csv,1055,41,0.2,TrainD,0.9063981042654028,0.8672985781990521,0.2641877233982086,0.3192828595638275
credit_g.csv,1000,20,0.2,TrainA,0.73,0.74,0.4959125518798828,0.533694863319397
credit_g.csv,1000,20,0.2,TrainB,0.73125,0.74,0.49372416734695435,0.5307401418685913
credit_g.csv,1000,20,0.2,TrainD,0.73125,0.74,0.49370184540748596,0.5355230569839478
fri_c3_500_25.csv,500,25,0.2,TrainA,0.755,0.65,0.5354654788970947,0.59920334815979
fri_c3_500_25.csv,500,25,0.2,TrainB,0.775,0.64,0.5084277987480164,0.5898690223693848
fri_c3_500_25.csv,500,25,0.2,TrainD,0.765,0.66,0.5106912851333618,0.5877376198768616
AP_Ovary_Kidney.csv,458,10935,0.2,TrainA,0.9972677595628415,0.9565217391304348,0.06477455049753189,0.2630683481693268
AP_Ovary_Kidney.csv,458,10935,0.2,TrainB,0.994535519125683,0.967391304347826,0.009639030322432518,0.413785845041275
AP_Ovary_Kidney.csv,458,10935,0.2,TrainD,0.9972677595628415,0.9565217391304348,0.011296315118670464,0.2915770411491394
fri_c4_250_25.csv,250,25,0.2,TrainA,0.575,0.52,0.6640363335609436,0.6874755620956421
fri_c4_250_25.csv,250,25,0.2,TrainB,0.7,0.54,0.6417111754417419,0.6884233951568604
fri_c4_250_25.csv,250,25,0.2,TrainD,0.73,0.54,0.6329253911972046,0.6873266696929932
fri_c2_250_5.csv,250,5,0.2,TrainA,0.795,0.74,0.4995820224285126,0.5706769227981567
fri_c2_250_5.csv,250,5,0.2,TrainB,0.8,0.74,0.4835908114910126,0.5486119389533997
fri_c2_250_5.csv,250,5,0.2,TrainD,0.835,0.72,0.451616108417511,0.5214138627052307
kc1-top5.csv,145,94,0.2,TrainA,0.9655172413793104,0.9310344827586207,0.09369944781064987,0.23867212235927582
kc1-top5.csv,145,94,0.2,TrainB,0.9741379310344828,0.9310344827586207,0.06781862676143646,0.2627817392349243
kc1-top5.csv,145,94,0.2,TrainD,0.9655172413793104,0.9310344827586207,0.07581766694784164,0.24980813264846802
breast.csv,699,10,0.2,TrainA,0.9695885509838998,0.9857142857142858,0.1030111312866211,0.069361113011837
breast.csv,699,10,0.2,TrainB,0.9713774597495528,0.9857142857142858,0.10068827867507935,0.06531274318695068
breast.csv,699,10,0.2,TrainD,0.9713774597495528,0.9857142857142858,0.10070914030075073,0.06580641865730286
strikes.csv,625,6,0.2,TrainA,0.722,0.728,0.5616106986999512,0.555934488773346
strikes.csv,625,6,0.2,TrainB,0.72,0.712,0.560904324054718,0.558070719242096
strikes.csv,625,6,0.2,TrainD,0.72,0.728,0.5596572160720825,0.5563678741455078
arsenic-male-bladder.csv,559,4,0.2,TrainA,0.9642058165548099,0.9285714285714286,0.12568031251430511,0.18762898445129395
arsenic-male-bladder.csv,559,4,0.2,TrainB,0.9642058165548099,0.9285714285714286,0.12654642760753632,0.19271405041217804
arsenic-male-bladder.csv,559,4,0.2,TrainD,0.9642058165548099,0.9285714285714286,0.13690952956676483,0.22266416251659393
flare.csv,1066,10,0.2,TrainA,0.8403755868544601,0.7990654205607477,0.381072461605072,0.4575558006763458
flare.csv,1066,10,0.2,TrainB,0.8380281690140845,0.7990654205607477,0.3814014196395874,0.45841890573501587
flare.csv,1066,10,0.2,TrainD,0.8392018779342723,0.7990654205607477,0.381477415561676,0.45873740315437317
fri_c0_500_50.csv,500,50,0.2,TrainA,0.9125,0.8,0.25965049862861633,0.47044482827186584
fri_c0_500_50.csv,500,50,0.2,TrainB,0.9175,0.79,0.23950082063674927,0.48890000581741333
fri_c0_500_50.csv,500,50,0.2,TrainD,0.9175,0.78,0.2363622635602951,0.49375057220458984
AP_Omentum_Lung.csv,203,10935,0.2,TrainA,0.6296296296296297,0.5853658536585366,0.2933083176612854,0.5631914734840393
AP_Omentum_Lung.csv,203,10935,0.2,TrainB,0.6296296296296297,0.5853658536585366,0.2668815851211548,0.6798427104949951
AP_Prostate_Lung.csv,195,10935,0.2,TrainA,0.9935897435897436,1.0,0.02013815939426422,0.00206870143301785
AP_Prostate_Lung.csv,195,10935,0.2,TrainB,0.9935897435897436,1.0,0.016005145385861397,0.0007173658814281225
AP_Prostate_Lung.csv,195,10935,0.2,TrainD,0.9935897435897436,1.0,0.012856989167630672,0.0006021640147082508
AP_Endometrium_Breast.csv,405,10935,0.2,TrainA,1.0,0.9753086419753086,0.009673498570919037,0.15786893665790558
AP_Endometrium_Breast.csv,405,10935,0.2,TrainB,1.0,0.9753086419753086,0.004083510022610426,0.22424648702144623
AP_Endometrium_Breast.csv,405,10935,0.2,TrainD,1.0,0.9753086419753086,0.0060662636533379555,0.05875949561595917
fri_c0_250_50.csv,250,50,0.2,TrainA,0.945,0.8,0.2833266258239746,0.4278618097305298
fri_c0_250_50.csv,250,50,0.2,TrainB,0.95,0.82,0.25139352679252625,0.4303227365016937
fri_c0_250_50.csv,250,50,0.2,TrainD,0.945,0.8,0.25596216320991516,0.4137146472930908
monk3.csv,554,6,0.2,TrainA,0.891647855530474,0.8918918918918919,0.3086937963962555,0.37847405672073364
monk3.csv,554,6,0.2,TrainB,0.891647855530474,0.8918918918918919,0.30626380443573,0.37923410534858704
monk3.csv,554,6,0.2,TrainD,0.891647855530474,0.8918918918918919,0.3006349205970764,0.3750086724758148
house_votes_84.csv,435,16,0.2,TrainA,0.9741379310344828,0.9540229885057471,0.058587972074747086,0.12910306453704834
house_votes_84.csv,435,16,0.2,TrainB,0.9827586206896551,0.9540229885057471,0.052156515419483185,0.13790740072727203
house_votes_84.csv,435,16,0.2,TrainD,0.9770114942528736,0.9540229885057471,0.05280934274196625,0.13964307308197021
fri_c1_250_25.csv,250,25,0.2,TrainA,0.69,0.56,0.5793054699897766,0.669524073600769
fri_c1_250_25.csv,250,25,0.2,TrainB,0.69,0.54,0.5666253566741943,0.6730894446372986
fri_c1_250_25.csv,250,25,0.2,TrainD,0.695,0.56,0.5646536350250244,0.6731416583061218
oil_spill.csv,937,49,0.2,TrainA,0.9532710280373832,0.9680851063829787,0.09830303490161896,0.08294416964054108
oil_spill.csv,937,49,0.2,TrainB,0.9532710280373832,0.9680851063829787,0.0879693254828453,0.07952536642551422
oil_spill.csv,937,49,0.2,TrainD,0.9532710280373832,0.9680851063829787,0.07639231532812119,0.06674515455961227
fishcatch.csv,158,6,0.2,TrainA,0.9841269841269841,1.0,0.05702289566397667,0.05500464513897896
fishcatch.csv,158,6,0.2,TrainB,0.9841269841269841,1.0,0.04797760769724846,0.04905939847230911
fishcatch.csv,158,6,0.2,TrainD,0.9841269841269841,1.0,0.043930936604738235,0.03945929557085037
Australian.csv,690,14,0.2,TrainA,0.8822463768115942,0.8913043478260869,0.348156213760376,0.3943580389022827
Australian.csv,690,14,0.2,TrainB,0.875,0.8840579710144928,0.34146642684936523,0.3952280282974243
Australian.csv,690,14,0.2,TrainD,0.8786231884057971,0.8913043478260869,0.34029707312583923,0.394319087266922
AP_Prostate_Ovary.csv,267,10935,0.2,TrainA,1.0,0.9814814814814815,0.02880648896098137,0.03587747737765312
AP_Prostate_Ovary.csv,267,10935,0.2,TrainB,1.0,0.9814814814814815,0.011259295977652073,1.8645200729370117
AP_Prostate_Ovary.csv,267,10935,0.2,TrainD,1.0,0.9814814814814815,0.010740307159721851,0.030650392174720764
ilpd.csv,583,10,0.2,TrainA,0.7060085836909872,0.7435897435897436,0.5106298923492432,0.47170495986938477
ilpd.csv,583,10,0.2,TrainB,0.7060085836909872,0.7435897435897436,0.5073531270027161,0.4681170582771301
PieChart1.csv,705,37,0.2,TrainA,0.9131205673758865,0.9148936170212766,0.21010424196720123,0.22640906274318695
PieChart1.csv,705,37,0.2,TrainB,0.9131205673758865,0.9148936170212766,0.20520395040512085,0.23164981603622437
PieChart1.csv,705,37,0.2,TrainD,0.9166666666666666,0.9148936170212766,0.20273442566394806,0.21370956301689148
fri_c2_100_50.csv,100,50,0.2,TrainA,0.925,0.7,0.305388867855072,0.590492844581604
fri_c2_100_50.csv,100,50,0.2,TrainB,0.925,0.7,0.26878994703292847,0.6051257252693176
fri_c2_100_50.csv,100,50,0.2,TrainD,0.925,0.7,0.32664892077445984,0.6070729494094849
blood-transfusion-service-center.csv,748,4,0.2,TrainA,0.7759197324414716,0.7666666666666667,0.47432082891464233,0.48735642433166504
blood-transfusion-service-center.csv,748,4,0.2,TrainB,0.7775919732441472,0.7666666666666667,0.4666167199611664,0.48233845829963684
blood-transfusion-service-center.csv,748,4,0.2,TrainD,0.7775919732441472,0.7666666666666667,0.46816614270210266,0.4824482202529907
fri_c4_250_50.csv,250,50,0.2,TrainA,0.675,0.48,0.6709657907485962,0.709169328212738
fri_c4_250_50.csv,250,50,0.2,TrainB,0.715,0.5,0.6518240571022034,0.7194388508796692
fri_c4_250_50.csv,250,50,0.2,TrainD,0.7,0.54,0.6528518795967102,0.7155933380126953
fri_c0_500_25.csv,500,25,0.2,TrainA,0.8875,0.74,0.353102445602417,0.49293968081474304
fri_c0_500_25.csv,500,25,0.2,TrainB,0.895,0.72,0.33585333824157715,0.4914322793483734
fri_c0_500_25.csv,500,25,0.2,TrainD,0.8925,0.73,0.3433402180671692,0.49524542689323425
fri_c4_100_50.csv,100,50,0.2,TrainA,0.7375,0.45,0.6757044792175293,0.6955103278160095
fri_c4_100_50.csv,100,50,0.2,TrainB,0.8375,0.45,0.6622353792190552,0.6985722780227661
fri_c4_100_50.csv,100,50,0.2,TrainD,0.8125,0.45,0.6599195599555969,0.6988095045089722
fri_c2_500_5.csv,500,5,0.2,TrainA,0.875,0.85,0.4173767864704132,0.43874600529670715
fri_c2_500_5.csv,500,5,0.2,TrainB,0.885,0.84,0.40480563044548035,0.4283255636692047
fri_c2_500_5.csv,500,5,0.2,TrainD,0.885,0.84,0.4051314890384674,0.4251108467578888
arsenic-female-lung.csv,559,4,0.2,TrainA,0.9753914988814317,0.9285714285714286,0.0622134804725647,0.1563050001859665
arsenic-female-lung.csv,559,4,0.2,TrainB,0.9753914988814317,0.9285714285714286,0.06096497178077698,0.15014979243278503
arsenic-female-lung.csv,559,4,0.2,TrainD,0.9753914988814317,0.9285714285714286,0.06073785573244095,0.14129133522510529
fri_c0_500_5.csv,500,5,0.2,TrainA,0.8675,0.79,0.3604782223701477,0.41196632385253906
fri_c0_500_5.csv,500,5,0.2,TrainB,0.8725,0.82,0.3460752069950104,0.3991268575191498
fri_c0_500_5.csv,500,5,0.2,TrainD,0.8675,0.79,0.3570522367954254,0.4094586670398712
analcatdata_vineyard.csv,468,3,0.2,TrainA,0.5775401069518716,0.46808510638297873,0.6762256622314453,0.7001307606697083
analcatdata_vineyard.csv,468,3,0.2,TrainB,0.5775401069518716,0.46808510638297873,0.6711911559104919,0.7028024792671204
analcatdata_vineyard.csv,468,3,0.2,TrainD,0.5775401069518716,0.46808510638297873,0.6716358065605164,0.7022954225540161
pwLinear.csv,200,10,0.2,TrainA,0.90625,0.8,0.3963077664375305,0.42333951592445374
pwLinear.csv,200,10,0.2,TrainB,0.9125,0.775,0.358752965927124,0.41020092368125916
pwLinear.csv,200,10,0.2,TrainD,0.91875,0.775,0.3186834752559662,0.39931339025497437
fri_c0_250_25.csv,250,25,0.2,TrainA,0.905,0.72,0.321804404258728,0.5360643267631531
fri_c0_250_25.csv,250,25,0.2,TrainB,0.905,0.72,0.2966683804988861,0.5566554665565491
fri_c0_250_25.csv,250,25,0.2,TrainD,0.915,0.72,0.2956923544406891,0.5555233955383301
fri_c4_1000_10.csv,1000,10,0.2,TrainA,0.7525,0.73,0.5435535311698914,0.5375648736953735
fri_c4_1000_10.csv,1000,10,0.2,TrainB,0.76375,0.775,0.5310876965522766,0.5239759683609009
fri_c4_1000_10.csv,1000,10,0.2,TrainD,0.7725,0.8,0.5185075998306274,0.5126326680183411
tokyo1.csv,959,44,0.2,TrainA,0.9465449804432855,0.9114583333333334,0.129588782787323,0.21780574321746826
tokyo1.csv,959,44,0.2,TrainB,0.9478487614080835,0.9114583333333334,0.11736133694648743,0.2200642228126526
tokyo1.csv,959,44,0.2,TrainD,0.9504563233376793,0.9114583333333334,0.12033341825008392,0.22133688628673553
fri_c0_100_50.csv,100,50,0.2,TrainA,0.6125,0.45,0.683498740196228,0.6993492245674133
fri_c0_100_50.csv,100,50,0.2,TrainB,0.6375,0.45,0.6723583936691284,0.7019878029823303
fri_c0_100_50.csv,100,50,0.2,TrainD,0.6375,0.45,0.6705204844474792,0.7007976174354553
