Dataset,Row,Col,Accuracy_A,Accuracy_B,Accuracy_D,Loss_A,Loss_B,Loss_D,Validation_Accuracy_A,Validation_Accuracy_B,Validation_Accuracy_D,Validation_Loss_A,Validation_Loss_B,Validation_Loss_D,Delta_Training_Accuracy,Delta_Validation_Accuracy,Delta_Training_Loss,Delta_Validation_Loss,ARI
CastMetal1.csv,327,37,0.8735632183908046,0.8735632183908046,0.8735632183908046,0.3004380464553833,0.2913790941238403,0.3132988810539245,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.3068880438804626,0.3187108337879181,0.3290552198886871,Same,Same,Increased,Increased,0
MeanWhile1.csv,253,37,0.915841584158416,0.915841584158416,0.915841584158416,0.2550509572029114,0.2313879430294037,0.2269710153341293,0.803921568627451,0.803921568627451,0.803921568627451,0.4432785212993622,0.4654533863067627,0.4831829071044922,Same,Same,Decreased,Increased,0
MegaWatt1.csv,253,37,0.915841584158416,0.915841584158416,0.915841584158416,0.2546149790287018,0.2198542356491089,0.2322528064250946,0.803921568627451,0.803921568627451,0.803921568627451,0.4353228509426117,0.4601613581180572,0.4578317403793335,Same,Same,Increased,Decreased,0
acute-inflammations.csv,120,6,1.0,1.0,1.0,0.021759582683444,0.000736913876608,0.001045916811563,1.0,1.0,1.0,0.0205508954823017,0.0006326689617708,0.0009536061552353,Same,Same,Increased,Increased,0
analcatdata_neavote.csv,100,2,0.95,0.95,0.95,0.2260362803936004,0.2154418528079986,0.2172064036130905,0.85,0.85,0.85,0.4140057563781738,0.4168980121612549,0.3972827494144439,Same,Same,Increased,Decreased,0
ar6.csv,101,29,0.8875,0.8875,0.8875,0.5276256799697876,0.3558971285820007,0.3606100678443908,0.7142857142857143,0.7142857142857143,0.7142857142857143,10.043241500854492,9.939749717712402,9.94903564453125,Same,Same,Increased,Increased,0
badges2.csv,294,10,1.0,1.0,1.0,0.0073921177536249,0.0002174820256186,0.0010095220059156,1.0,1.0,1.0,0.0073319431394338,0.0002107663895003,0.0009654624736867,Same,Same,Increased,Increased,0
fertility.csv,100,9,0.875,0.875,0.875,0.563675582408905,0.3866365849971771,0.3688300251960754,0.9,0.9,0.9,0.6271058917045593,0.4564172327518463,0.4408483505249023,Same,Same,Decreased,Decreased,0
glass2.csv,163,9,0.5230769230769231,0.5230769230769231,0.5384615384615384,0.6636230945587158,0.6530990600585938,0.6276150941848755,0.6060606060606061,0.6060606060606061,0.5757575757575758,0.6730450987815857,0.6652737259864807,0.6734260320663452,Increased,Decreased,Decreased,Increased,0
planning-relax.csv,182,12,0.7103448275862069,0.7103448275862069,0.7172413793103448,0.5659278035163879,0.562134325504303,0.5569400191307068,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.6301388144493103,0.6285222768783569,0.6298277378082275,Increased,Same,Decreased,Increased,0
plasma_retinol.csv,315,13,0.5753968253968254,0.6944444444444444,0.6547619047619048,0.6692698001861572,0.6117770075798035,0.6370647549629211,0.5873015873015873,0.5873015873015873,0.6190476190476191,0.7094385027885437,0.6749145984649658,0.6581224799156189,Decreased,Increased,Increased,Decreased,0
