N,Layer1_Size,Layer2_Size,Fraction,Solutions,Avg time
3,1,1,10,No,0.03140695889790853
3,1,1,4,No,0.01402735710144043
3,1,1,2,No,0.0141752560933431
3,1,1,1,No,0.013700644175211588
3,2,1,10,No,0.014068603515625
3,2,1,4,No,0.014066060384114584
3,2,1,2,No,0.013811588287353516
3,2,1,1,No,0.013901631037394205
3,2,2,10,No,0.013817707697550455
3,2,2,4,No,0.013971169789632162
3,2,2,2,No,0.0140992800394694
3,2,2,1,No,0.013857285181681315
3,3,1,10,No,0.01389773686726888
3,3,1,4,No,0.014041423797607422
3,3,1,2,No,0.014067411422729492
3,3,1,1,No,0.014591852823893229
3,3,2,10,No,0.014389355977376303
3,3,2,4,No,0.014127810796101889
3,3,2,2,No,0.01426990826924642
3,3,2,1,No,0.01397101084391276
3,3,3,10,No,0.01395726203918457
3,3,3,4,No,0.014015992482503256
3,3,3,2,No,0.01393437385559082
3,3,3,1,No,0.014050006866455078
3,4,1,10,No,0.014648040135701498
3,4,1,4,No,0.01407321294148763
3,4,1,2,No,0.014215787251790365
3,4,1,1,No,0.013916651407877604
3,4,2,10,No,0.014086405436197916
3,4,2,4,No,0.014216105143229166
3,4,2,2,No,0.014356851577758789
3,4,2,1,No,0.013813336690266928
3,4,3,10,No,0.013997952143351236
3,4,3,4,No,0.014008124669392904
3,4,3,2,No,0.014013131459554037
3,4,3,1,No,0.014019171396891275
3,4,4,10,No,0.013923247655232748
3,4,4,4,No,0.014040629069010416
3,4,4,2,No,0.014074007670084635
3,4,4,1,No,0.01375595728556315
5,1,1,10,No,0.02242593765258789
5,1,1,4,No,0.022237396240234374
5,1,1,2,No,0.02208104133605957
5,1,1,1,No,0.02324538230895996
5,2,1,10,No,0.01981801986694336
5,2,1,4,No,0.021179866790771485
5,2,1,2,No,0.021394729614257812
5,2,1,1,No,0.02344999313354492
5,2,2,10,No,0.022584962844848632
5,2,2,4,No,0.023752212524414062
5,2,2,2,No,0.022066116333007812
5,2,2,1,No,0.022023820877075197
5,3,1,10,No,0.022264766693115234
5,3,1,4,No,0.02224278450012207
5,3,1,2,No,0.020612573623657225
5,3,1,1,No,0.02706623077392578
5,3,2,10,No,0.019993019104003907
5,3,2,4,No,0.022364187240600585
5,3,2,2,No,0.020417404174804688
5,3,2,1,No,0.02343745231628418
5,3,3,10,No,0.019977760314941407
5,3,3,4,No,0.022296619415283204
5,3,3,2,No,0.02245159149169922
5,3,3,1,No,0.019487428665161132
5,4,1,10,No,0.02099132537841797
5,4,1,4,No,0.019950199127197265
5,4,1,2,No,0.02141404151916504
5,4,1,1,No,0.02207660675048828
5,4,2,10,No,0.022174739837646486
5,4,2,4,No,0.023858928680419923
5,4,2,2,No,0.020047950744628906
5,4,2,1,No,0.022102212905883788
5,4,3,10,No,0.019618701934814454
5,4,3,4,No,0.019861936569213867
5,4,3,2,No,0.02205820083618164
5,4,3,1,No,0.01939234733581543
5,4,4,10,No,0.02410898208618164
5,4,4,4,No,0.0242917537689209
5,4,4,2,No,0.022281980514526366
5,4,4,1,No,0.02210402488708496
10,1,1,10,No,0.047589683532714845
10,1,1,4,No,0.05037813186645508
10,1,1,2,No,0.04896106719970703
10,1,1,1,No,0.047369194030761716
10,2,1,10,No,0.05258948802947998
10,2,1,4,No,0.04440314769744873
10,2,1,2,No,0.04813506603240967
10,2,1,1,No,0.04401328563690186
10,2,2,10,No,0.047839784622192384
10,2,2,4,No,0.04919142723083496
10,2,2,2,No,0.0481687068939209
10,2,2,1,No,0.04749627113342285
10,3,1,10,No,0.047433781623840335
10,3,1,4,No,0.04843428134918213
10,3,1,2,No,0.044655776023864745
10,3,1,1,No,0.040643501281738284
10,3,2,10,No,0.04528989791870117
10,3,2,4,No,0.04792301654815674
10,3,2,2,No,0.04814879894256592
10,3,2,1,No,0.04727051258087158
10,3,3,10,No,0.04691910743713379
10,3,3,4,No,0.04422647953033447
10,3,3,2,No,0.04398202896118164
10,3,3,1,No,0.0437558650970459
10,4,1,10,No,0.04503397941589356
10,4,1,4,No,0.044028210639953616
10,4,1,2,No,0.049578380584716794
10,4,1,1,No,0.03972198963165283
10,4,2,10,No,0.04792914390563965
10,4,2,4,No,0.0450455904006958
10,4,2,2,No,0.051633238792419434
10,4,2,1,No,0.04737880229949951
10,4,3,10,No,0.04885082244873047
10,4,3,4,No,0.046745681762695314
10,4,3,2,No,0.047793459892272946
10,4,3,1,No,0.046509313583374026
10,4,4,10,No,0.04594993591308594
10,4,4,4,No,0.041388964653015135
10,4,4,2,No,0.051983880996704104
10,4,4,1,No,0.0469588041305542
15,1,1,10,No,0.08684358596801758
15,1,1,4,No,0.09179518222808838
15,1,1,2,No,0.090267014503479
15,1,1,1,No,0.08869438171386719
15,2,1,10,No,0.09250888824462891
15,2,1,4,No,0.09118986129760742
